drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1z7IzrYlghUul-cpDJQQYc7JxiTOyAF5w	1987 - 176-1987 IEEE Standard on Piezoelectricity.pdf	application/pdf	897436	partial	ieee-176-1987-piezoelectricity
10g6VI5ftUqHplnZDjOAscy3By6MKro_N	BS EN 50324-3-2002--[2021-04-07--08-04-10 PM].pdf	application/pdf	401482	read	bs-en-50324-3-2002-piezoceramic-high-power
1MOHIyDjzYIdgb4a6ORJJGsIEIBdg3kg4	BS EN 50324-2-2002--[2021-04-07--08-04-09 PM].pdf	application/pdf	488241	read	bs-en-50324-2-2002-piezoceramic-low-power
1PDwSneIBaJVJFL7yQF1wkLd5F8lff9XV	BS EN 50324-1-2002--[2021-04-07--08-04-07 PM].pdf	application/pdf	341816	read	bs-en-50324-1-2002-piezoceramic-terms
1kXh1rD3l4UXp-tciHCB7oDiuLbJpPwZB	ISO_492_2014_EN.pdf.pdf	application/pdf	1644604	partial	iso-492-2014-radial-bearings-tolerances
1ooBwW4Yhwgmqz6WID6Iqv7476PO6IxiM	ISO_11922_1_2018_EN.pdf.pdf	application/pdf	666187	read	iso-11922-1-2018-thermoplastic-pipes-tolerances
1XzpwyZ4gmqkBIJptSoq5US01RdnmOkj9	ISO_492_2002_EN.pdf.pdf	application/pdf	181957	read	iso-492-2002-radial-bearings-tolerances
1qEiz2RgJW79dSyrusOjvS-V5i9p1rAA_	ISO_5459_2011_EN.pdf.pdf	application/pdf	171133	read	iso-5459-2011-gps-datums
1psEg5TTMCuyaewSK_SNSO58hQFsJq6TC	ISO 9613-2 - Acoustics - Attenuation of sound during propagation outdoors - Part 2 (general method of calculation).pdf	application/pdf	1535316	read	iso-9613-2-1996-sound-attenuation-outdoors
1CaORsgZUiQ4-KD1OT0yADwo8a1PHfctt	Standard Test Methods of Compression Testing of Metallic Materials at Room Temperature.pdf	application/pdf	112965	read	astm-e9-compression-testing-metals
1hrqNGqmnJ3krITdb7UvMFnlItO4Lnb45	ASTME9.pdf	application/pdf	128188	skipped-duplicate	astm-e9-compression-testing-metals-duplicate
1ACHGMUfJ4lxtSl9fLECG_ztt9ahmkw0e	ASTM-E-8-yr-13.pdf	application/pdf	645696	partial	astm-e8-e8m-2013-tension-testing-metals
1PEkVQHOELB_CmWNArWBZ7o6Qg2c3ZTOf	ASTME8-E8M-fig8.pdf	application/pdf	310243	read	astm-e8-e8m-fig8-specimen-drawings
17xqP3j6qtar2SpGpi0EU1Xbchnaeo0o_	ASTM D4636-99.pdf	application/pdf	158188	read	astm-d4636-99-oxidation-stability-oils
