concept_term	aliases_seen	one_line_definition	doc_slug
silica aerogel	aerogel	Ultra-porous amorphous silica network formed by sol-gel processing and supercritical drying, with very high porosity and low density	bulk-modulus-silica-aerogel-md-coarse-grained
bulk modulus	compressibility	Resistance of a material to uniform isotropic compression, K = -V(∂P/∂V)_T	bulk-modulus-silica-aerogel-md-coarse-grained
coarse-grained molecular dynamics	CG-MD	MD simulation where groups of atoms are represented as single interaction sites, enabling access to larger length/time scales	bulk-modulus-silica-aerogel-md-coarse-grained
fractal dimension	Df; mass fractal dimension	Exponent describing how mass scales with length in a self-similar porous network; aerogels typically show Df ≈ 1.7–1.8	bulk-modulus-silica-aerogel-md-coarse-grained
sol-gel process	gelation; condensation polymerisation	Wet-chemistry route where silica monomers hydrolyse and condense into a network gel, used to synthesise aerogels and other porous oxides	bulk-modulus-silica-aerogel-md-coarse-grained
volumetric bond density	bond density; ρ_bond	Number of interparticle bonds per unit volume in a coarse-grained gel model; found to be the primary correlate of bulk modulus	bulk-modulus-silica-aerogel-md-coarse-grained
power-law density dependence	K ∝ ρ^m	Empirical relationship between modulus and density in aerogels, with exponent m ≈ 3–3.5	bulk-modulus-silica-aerogel-md-coarse-grained
pore size distribution	PSD	Statistical distribution of pore diameters in a porous material, characterised here via geometric sphere-insertion algorithm	bulk-modulus-silica-aerogel-md-coarse-grained
polydispersity	size dispersity	Variation in primary particle size in a gel model; increases softness by reducing bond density	bulk-modulus-silica-aerogel-md-coarse-grained
Langevin dynamics	stochastic dynamics	Equation-of-motion integrator including random force and drag terms to model solvent effects without explicit solvent molecules	bulk-modulus-silica-aerogel-md-coarse-grained
breath figures	condensation templating	Self-ordered arrays of water droplets that form on an evaporatively cooled liquid surface in moist air, used as templates for porous films	three-dimensionally-ordered-air-bubbles-polymer-film; breath-figure-ordered-porous-films-zhang
thermocapillary convection	Marangoni convection	Fluid motion driven by surface-tension gradients arising from temperature non-uniformity; responsible for stabilising breath-figure droplets against coalescence	three-dimensionally-ordered-air-bubbles-polymer-film
macroporous polymer film	ordered porous film; honeycomb film	Polymer film containing a regular 2D or 3D array of micrometer-scale pores formed by breath-figure templating	three-dimensionally-ordered-air-bubbles-polymer-film; breath-figure-ordered-porous-films-zhang
hexagonal packing	hexagonally ordered array; HCP	Close-packing arrangement of spheres or droplets in a plane, giving maximum 2D packing density; observed in breath-figure films	three-dimensionally-ordered-air-bubbles-polymer-film
photonic band gap	optical stop-band; PBG	Frequency range in which light propagation is forbidden in a periodic dielectric structure; macroporous films with sub-micron pores can exhibit this	three-dimensionally-ordered-air-bubbles-polymer-film
surface metrology	surface topography measurement	Science and practice of measuring and characterising the geometric form and texture of surfaces at micro/nano scales	recent-trends-surface-metrology-mathia
tactile profilometer	stylus profilometer; contact profilometer	Instrument that drags a diamond-tipped stylus across a surface to measure its height profile	recent-trends-surface-metrology-mathia
white-light interferometry	VSI; vertical scanning interferometry; EVSI	Optical method using white-light fringes to map surface height with nm vertical resolution over mm lateral range	recent-trends-surface-metrology-mathia
confocal microscopy	scanning confocal microscope	Optical technique that uses a pinhole or Nipkow disk to reject out-of-focus light, enabling depth-resolved surface imaging	recent-trends-surface-metrology-mathia
atomic force microscopy	AFM	Scanning probe technique using a cantilever tip to measure surface forces/topography at nm resolution on any material	recent-trends-surface-metrology-mathia
Gaussian filter	ISO 11562 filter	Linear phase-preserving filter that separates roughness from waviness by suppressing wavelengths above a cutoff; standardised in ISO 11562	recent-trends-surface-metrology-mathia
robust Gaussian filter	Tukey filter; Hampel filter	Variant of the Gaussian filter using iterative weighting to suppress influence of outliers (scratches, freak peaks) on the mean line	recent-trends-surface-metrology-mathia
multi-process surface texture	plateau-honed surface	Surface produced by two or more manufacturing steps with different characteristic wavelengths, e.g., coarse + fine honing of cylinder liners	recent-trends-surface-metrology-mathia
Abbott-Firestone curve	material ratio curve; bearing area curve	Cumulative height distribution of a surface profile used to characterise bearing area and oil-retention capacity	recent-trends-surface-metrology-mathia
Rk parameters	Rk; Rpk; Rvk; Mr1; Mr2	ISO 13565-2 parameters describing core roughness depth, reduced peak height, reduced valley depth, and material ratios of a plateau surface	recent-trends-surface-metrology-mathia
surface texturing	laser surface texturing; LST; dimple texturing	Deliberate creation of regular micro-features (dimples, grooves) on a surface to improve tribological performance via micro-hydrodynamic bearing or lubricant reservoir effects	recent-trends-surface-metrology-mathia
structured surface	engineered surface; textured surface	Surface with a deterministic, designed pattern (steps, dimples, channels) intended to fulfil specific functional requirements	recent-trends-surface-metrology-mathia
wavelet transform	multi-scale analysis; wavelet decomposition	Signal processing technique that decomposes surface topography into components at multiple length scales simultaneously	recent-trends-surface-metrology-mathia
sampling interval	digitisation interval; spatial sampling	Lateral spacing between measurement points in a surface profile or map; must satisfy Nyquist criterion relative to surface bandwidth	recent-trends-surface-metrology-mathia
