drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1RC_kqrRdshCjt0ToaOEdPaNV_HWcGV1D	Analysis of Cylinder Bore Distortion During Engine Operation (SAE 950541)	application/pdf	unknown	read	abe-suzuki-toyota-bore-distortion-operation-1995
1l4fjTLzQMhyoyq17d6nGlaz73Q-n7gUM	Enhancing the Geometrical Performance Using Initially Conical Cylinder Liner (Alshwawra 2020)	application/pdf	unknown	read	alshwawra-conical-liner-bore-distortion-2020
1qQR_fz_LOP-VjAgxNNDtffkJM2B2j2gR	Increasing the Roundness of Deformed Cylinder Liner by Using a Non-Circular Liner Profile (Alshwawra 2019)	application/pdf	unknown	read	alshwawra-noncircular-liner-roundness-2019
17jlq6VX_hxM5zXPLph79eCoo-yQPwrbj	Piston Ring Tribology: A Literature Survey (Andersson 2002, VTT Research Notes 2178)	application/pdf	unknown	partial	andersson-piston-ring-tribology-survey
1OvI7vHLifogaIgixqbyoAG57iTLfcVxi	Ultrasonic Imaging of the Piston Ring Oil Film during Operation in a Motored Engine (Avan et al. 2010)	application/pdf	unknown	read	avan-mills-ultrasonic-imaging-ring-motored
18hHBTBgMXQ76zNq1-STOZBGrbPnhroPw	Experimental and Numerical Investigations of a Simulated Piston Ring-Liner Contact (Avan et al.)	application/pdf	unknown	read	avan-spencer-ring-liner-contact
1aTDBf82kfTIg1jlO_hy0qqTsnIh0PlQR	A Review of Surface Texturing in Internal Combustion Engine Piston Assembly (Azmi 2020)	application/pdf	unknown	read	azmi-wan-mahmood-surface-texturing-piston-review-2020
1QfHyXSLddAIRbhqbYBq8IigFUbTlXoeS	Solving Piston Secondary Motion of Internal Combustion Engines (Bai, MIT)	application/pdf	unknown	read	bai-piston-secondary-motion-mit
1EUjk5Ad9MG8YD1c1fAy_2Rq-uOeK2flr	A Simplified Methodology for the Analysis of Cylinder Liner Bore Distortion (Barbieri et al. SAE 2019-24-0164)	application/pdf	unknown	read	barbieri-giacopini-ferrari-bore-distortion-simplified
1hnGqQyOjfcHQzE6jyUI7cF3OLquT_HTs	Distortion Inside a Piston Bore — Ring Conformability Bounds Comparison (Bardzimashvili et al. 2004)	application/pdf	unknown	read	bardzimashvili-kelly-romelashvili-ring-conformability-bounds
15fsHxBgRZOHa51ZbO4AIowgyBVPinpwF	Measurement of Bore Distortion in a Firing Engine (Bird & Gartside, SAE 2002-01-0485)	application/pdf	unknown	read	bird-gartside-federal-mogul-fired-bore-distortion-2002
1tWtxdSvbKYgoyJkWTanZ1dqYoE6Y8u2r	Ultrasonic Measurement of Wear (Birring & Kwun 1989)	application/pdf	unknown	read	birring-kwun-ultrasonic-wear-measurement
1UsaCa8xqyeJqsWVP3xMtA8EiJSyPAvPt	An Object-Oriented Approach to Post-Processing of Cylinder Bore Distortion (Chen et al. SAE 2017-01-1075)	application/pdf	unknown	read	chen-adimi-ford-bore-distortion-oo-postprocessing
1tHknM9Zkm6fgTitl1lm8eKdslSbumo7w	Analysis of the Piston Assembly, Bore Distortion and Future Developments (Chittenden & Priest 1993)	application/pdf	unknown	read	chittenden-priest-piston-assembly-bore-distortion-1993
1mriINjc1Baoa_ClWGR-8EIhIJ2tSsyhI	Cavitation Induced Starvation for Piston-Ring/Liner Tribological Conjunction (Chong et al. 2010/2011)	application/pdf	unknown	read	chong-cavitation-starvation
1eILO2LshqYEzadPLJ67bpOG-Vr3akb94	Piston Secondary Motion Measurement by Laser Displacement Sensors (Dlugoš & Novotný 2018)	application/pdf	unknown	read	dlugos-novotny-piston-secondary-laser-2018
1fKlesqzq-HI3z3efyhXucNy-bcYEDKDp	A Transient Tribodynamic Approach for the Calculation of Piston Slap Noise (Dolatabadi et al. 2015)	application/pdf	unknown	read	dolatabadi-piston-slap-noise-tribodynamics
1JFMDpN5_vGiPzI7_d6pdvhEc6iijVgpO	Piston Assemblies; Background and Lubrication Analysis (Dowson 1993)	application/pdf	unknown	read	dowson-piston-assemblies-lubrication-1993
13le8vU_Yn59my7Rhun9O4vHCnAN3vceE	Measuring Oil Films in Automotive Engines — Presentation (Dwyer-Joyce 2011)	application/pdf	unknown	read	dwyer-joyce-measuring-oil-films-presentation
1AiP8WZRleCaEVtnSBVDBfFsSZT3nZwwh	Ultrasound for Non-Invasive Measurement of IC Engine Piston Skirt Lubricant Films (Dwyer-Joyce et al. SAE 2006-01-0648)	application/pdf	unknown	read	dwyer-joyce-piston-skirt-ultrasonic-2006
1OHtHKPQQ8LrmWkh88Eqc9ZBYJhcEyvsW	Some New Results for the Vibrations of Circular Cylinders (Dym 1973)	application/pdf	unknown	read	dym-vibrations-circular-cylinders
1BxA1SXq-1wv8XNtGn3cT2ayupstW4NHF	Chaotic and Periodic Dynamics of a Slider-Crank Mechanism with Slider Clearance (Farahanchi & Shaw 1994)	application/pdf	unknown	read	farahanchi-shaw-chaotic-slider-crank
1gZyrg0-6QNWhDAu1BDCxjvxmaKtOtzav	Measurement of Cylinder Bore Deformation During Actual Operating Engines (Fujimoto et al. SAE 910042)	application/pdf	unknown	read	fujimoto-goto-cylinder-bore-deformation-operating
