drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1OaSIktmkjvrG-IApzr-rN1XAqF9gm8cy	Transmission Line Related Notes (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1f0Z8smak2qG8zM3HEWH9sH84zTSE07Ex	Signals and Systems for Bioengineers- A MATLAB-Based Introduction (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1nmUMnH6G2SS3alyqiJhkkDg-EqCeH1Hd	General Notes (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1KVGzv_bLR_3rVKR_ZXcYw5CozTrPpqL5	Oscilloscope probes (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1ybj8At9vNN296zYj3_DUwVyAnxTrSOJy	Microwave and RF design books 5 volume - Michael Steer (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1Ii4_gkPliZZdcphgAsoE7DewTaYqu-dE	2001 - Foundations for Microwave Engineering - Robert E. Collin (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1Jviruph_nrzLZRe7YpzJFol0FI6iuwjH	CHAPTER5.pdf	application/pdf	1572723	read	chapter5-transformers
1bMJ1_IaoYj6vnDqCTeBPVDZlfZK7I-Nz	transmission_lines_as_impedance_transformers.pdf	application/pdf	2197605	read	transmission-lines-as-impedance-transformers
1Srm3-eihOnJdQEXH1X-njMNTB9_d-HKD	TransmissionLineParameters.pdf	application/pdf	95639	read	transmission-line-parameters
1gj4Vtft4h7rDzeXnIMuVwkeDDyBFnTP0	Good web links.txt	text/plain	273	read	-
1Vd7oFoKnyUBvo8BrSTMFbXRrhMUh4H5I	ImpedanceTransformSP.pdf - Shortcut.lnk	application/x-ms-shortcut	2349	unreadable	-
1zrQZBTpUSRZNcL0fnJsk9fz2gR-L9KNT	SeparationOfVariables.pdf	application/pdf	46164	read	separation-of-variables
1tNjTozxtfW5bo1PNZmAd8c1fKLlkNBbE	PhaseGroupVelocity.pdf	application/pdf	433569	read	phase-group-velocity
13Bp3AWvJlAV9XbBR6tAetZONQrwl6fIJ	PropagationConstant.pdf	application/pdf	102616	read	propagation-constant
