concept_term	aliases_seen	one_line_definition	doc_slug
spherically focused transducer	concave focused transducer, spherical radiator	A transducer whose radiating surface is a portion of a sphere, focusing ultrasound to a point near its center of curvature without auxiliary optics.	spherically-focused-capacitive-air-coupled-transducer-song-2006
capacitive film transducer	electrostatic transducer, capacitive micromachined transducer	An air-coupled ultrasonic transducer that converts acoustic pressure to current via capacitance change between a biased conductive polymer film and a patterned backplate.	spherically-focused-capacitive-air-coupled-transducer-song-2006
diffraction-limited focusing	diffraction-limited beam	The condition where beam width at focus is determined solely by diffraction (wavelength and aperture), not aberrations or imperfections.	spherically-focused-capacitive-air-coupled-transducer-song-2006
Rayleigh–Sommerfeld diffraction model	Rayleigh integral	An exact integral formulation for the pressure field radiated from a planar source, used to predict the focused beam pattern of a piston transducer.	spherically-focused-capacitive-air-coupled-transducer-song-2006
FWHM (6 dB beamwidth)	full width at half maximum, -6 dB width	The lateral width of an acoustic beam at the depth where intensity falls to half its peak value; standard measure of lateral resolution.	spherically-focused-capacitive-air-coupled-transducer-song-2006
Fresnel zone plate	zone plate focusing	A diffractive optical-like device made of concentric annular rings that focuses acoustic waves through constructive interference; an external alternative to native transducer focusing.	spherically-focused-capacitive-air-coupled-transducer-song-2006
acoustic impedance mismatch	impedance mismatch	The ratio difference between specific acoustic resistances of two media (e.g., solid and air) that limits sound transmission efficiency across an interface.	ultrasonic-lenses-plastic-materials-sette-1949
KZK equation	Khokhlov–Zabolotskaya–Kuznetsov equation	A nonlinear parabolic wave equation accounting for diffraction, thermoviscous attenuation, and nonlinearity for directional acoustic beams.	pulse-echo-nonlinearity-focused-transducers-zhang-2017
multi-Gaussian beam (MGB) model	MGB model, Gaussian beam expansion	A method that expresses the source field as a sum of 25 Gaussian beams with complex coefficients, enabling closed-form solutions for propagating beams from a circular transducer.	pulse-echo-nonlinearity-focused-transducers-zhang-2017
second harmonic generation	SHG, harmonic generation, nonlinear acoustics	The production of a wave at twice the fundamental frequency due to finite-amplitude (nonlinear) propagation; used for tissue characterization and NDE.	pulse-echo-nonlinearity-focused-transducers-zhang-2017
acoustic nonlinearity parameter β	B/A parameter, nonlinearity parameter	A material property quantifying the strength of quadratic nonlinearity in wave propagation; related to the ratio of second harmonic to fundamental amplitude squared.	pulse-echo-nonlinearity-focused-transducers-zhang-2017
pulse-echo mode	single-transducer mode	Ultrasonic measurement configuration where a single transducer acts as both transmitter and receiver, reflecting sound off a target.	pulse-echo-nonlinearity-focused-transducers-zhang-2017
