drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1VQgMpvu29HJLdRR7LtxINUJo28FyUsHe	RANGE MEASUREMENT (root folder)	application/vnd.google-apps.folder	-	-	-
1fQbvyKyCAd7yD38IyzuorSylUKQuX9n3	Non Ultrasonic Range Measurement (sub-folder)	application/vnd.google-apps.folder	-	-	-
1hYT48p6oE4ZsaIylQSNSqnSIGBCYcXhf	NEAR AND FAR FIELD (sub-folder)	application/vnd.google-apps.folder	-	-	-
1V_SPhSMQ5MMFUnE1B1pZHckumz5Ez_mc	1976 - Physical Acoustics - Volume 12 - Principles and Methods.pdf	application/pdf	9367900	partial	physical-acoustics-vol-12
1ImIeFc8iEPs-uwb_nzRbK_eunrkPVFV5	1967 - Papadakis - Ultrasonic phase velocity measurements with the pulse-echo-overlap method incorporating diffraction phase corrections.pdf	application/pdf	1051529	read	papadakis-1967-pulse-echo-overlap
1gxPlcZNWQpUOPZqYQcVSxUxbLtq2inFN	1985 - Hull - correlation to find tof.pdf	application/pdf	918124	read	hull-1985-correlation-tof
12_ofo__fkTBNa8hLrmBvBdIh1TwCB0tb	1976 - J. Blinka and W. Sachse - Application of ultrasonic-pulse-spectroscopy measurements to an experimental stress analysis.pdf	application/pdf	485707	read	blinka-sachse-1976-pulse-spectroscopy
1xnSWYZdU56mW6wLFJGe8d2LvU2MUTj_g	1995 - Michael Janssen - Reproducible time-of-flight measurements with ultrasound in a liquid couplant layer.pdf	application/pdf	600815	read	janssen-1995-tof-reproducible
1NuUYpWthfQ3iDEWh6fSB29YLj1meHffK	2012 _ Applicable to Nottingham work _ Article_ultrasonics_2012.pdf	application/pdf	633511	read	pierre-2012-ultrasound-liquid-foams
17z99ITKjWU3zKY7ePX5B_Lar-gk9xqr2	2003-03-Transient-Diffraction-Effects-Ultrasonic-Meters-Lunde.pdf	application/pdf	884215	partial	lunde-2003-transient-diffraction-flow-meters
1GGSmTmTCcy-icnryiK99ggmmfAL_QGnu	2012 - A newly conceived cylinder measuring machine and methods that eliminate the spindle errors - A Vissiere.pdf	application/pdf	1557110	partial	vissiere-2012-cylinder-measuring-machine
1c9iAzDijF_2u6-IsmcWIOrCMEcorwlGW	2014 - Measuring in the Subnanometer Range Capacitive and Eddy-Current Displacement Sensors - Stoyan Nihtianov.pdf	application/pdf	2295218	read	nihtianov-2014-capacitive-eddy-current-nanodisplacement
1nxWMHNB8cC2IK3nBYduLPgcR_p7Fx4rQ	1990 - A review of magnetic sensors - James E lenz.pdf	application/pdf	1626948	partial	lenz-1990-review-magnetic-sensors
1Nyr0SjywkHBcARXKHDEApJmhp43IyFRJ	MICRO-EPSILON PAGE ON RANGE MEASURMENT TECH.pdf	application/pdf	1824192	unreadable	micro-epsilon-range-measurement-tech
1R5qfyfyw3pfu2Wj3C4MbcMK0hIZ5bGzK	2008 04 - Research on effect of measured curvature on eddy current evaluation of electrical-conductive components.pdf	application/pdf	751591	read	yu-yating-2008-eddy-current-curvature
13CnbVZAAAwjzwGgQWF463zT58DmF-sZF	1997 - A new comparator for measurement of diameter and form of precision cylindrical and spherical parts - M Neugebauer.pdf	application/pdf	464635	read	neugebauer-1997-cylinder-sphere-comparator
1ObrdqB4hLnfZv8X2OCOjAC6yvGLNVdQz	2012 - Optical methods for distance and displacement measurements - Gary Berkovic.pdf	application/pdf	932091	partial	berkovic-2012-optical-distance-displacement
1uFnF-hKcgOkOoskuRI1Q8ZPmWhjDURKr	1996 - Characteristics of pneumatic proximity sensor using a swirling jet - Hisaki Shimizu.pdf	application/pdf	680233	read	shimizu-1996-pneumatic-proximity-swirling-jet
1sFhYx321-PWyJ7NqF6nPoWQapRZiiJzL	airproximity.pdf	application/pdf	103785	read	airproximity-okeefe
1PwfgIIlz1fYdg_K6iWFg2ryyo6_sDhRF	1992 - A Near-Field Measurement Model for Ultrasonic Reference Standards - LW Schmerr A Sedov.pdf	application/pdf	645419	read	schmerr-sedov-1992-near-field-model
1nfMu6Dgr3--spREQLZ1zI3sdRJXN7n74	1971 - Beam Behavior within the Nearfield of a Vibrating Piston - (1971) J Zemanek.pdf	application/pdf	1358551	read	zemanek-1971-nearfield-vibrating-piston
1Rpn1ydigDyLn_EEFCAooixthzfGsYqBG	2008 - Evaluation of the angular spectrum approach for simulations of near-field pressures - (2008) X Zeng.pdf	application/pdf	838533	read	zeng-mcgough-2008-angular-spectrum
1JJv5UJSUngh7oi122FhFXc0W_z-3Cwm6	2003 - Nearfield_Pressure_Calculations_for_Circular_Transducers - (2003) JF Kelly.pdf	application/pdf	532929	read	kelly-2003-nearfield-pressure-calculations
1lf-HNn1VOdyAugDOT2spWNgZKGvzJq9s	Ultrasonic Transducers Technical Notes_ Olympus.pdf	application/pdf	2999885	read	olympus-transducers-technical-notes
1x-co5Jd2RcIikV23yWZQf8TALtFHr4U0	2015 - Systematic errors in Impact-Echo thickness estimation due to near field effects- (2015) Oskar Baggens.pdf	application/pdf	2999885	partial	baggens-2015-impact-echo-near-field
