drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1L6b-RNIKy-Pxtlq6mZO9TRAWpzeZ2IuL	Warwick Notes (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1giQUFgcySD2YqVRWgZz4ajJs5potVJdD	TENSORS (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1z5KGZqRp47Z-doHbinKiJhSHULNvW1FV	Introduction to Tensor Calculus and Continuum Mechanics - J.H. Heinbockel (folder)	application/vnd.google-apps.folder	-	skipped-duplicate	-
1rBYNqhgYAV4GV28bthvuE1a0fZMP6hPO	2D fourier.pdf	application/pdf	1894167	read	2d-fourier
1QmUVYb2yhrQW2YHJz8p25Ym3TB8pbUA6	AA210A_Chapter_3_Control_volumes_Brian_J_Cantwell.pdf	application/pdf	2018554	read	aa210a-control-volumes
1mGpPG4xLReIKO0HDLxDWa3nfRqyiREiY	freecomplexnumbers.pdf	application/pdf	261685	partial	complex-numbers
1InIThaJMjXRe8dHS-aKfPjBR3CQBNlxl	MA250_ln_20200331.pdf	application/pdf	647041	partial	ma250-pde
1Wm3fmioPoJhIoYa9G-4L4biKPwPQ_HOM	Wave chaos in acoustics and elasticity - (2007) Gregor Tanner.pdf	application/pdf	2859014	partial	wave-chaos
1Kco8R4gSjCJP0fvneia4VneHunGAaA-U	[Steven_Strogatz]_Infinite_Powers__How_Calculus_Re(z-lib.org).epub	application/epub+zip	8423404	unreadable	infinite-powers-epub
1--MIOYcH3l60nq4y9_hicY6v40WGQuGO	Steven H. Strogatz - Infinite Powers_ How Calculus Reveals the Secrets of the Universe-Houghton Mifflin Harcourt (2019).pdf	application/pdf	11883085	partial	infinite-powers
1uSCgQzHIcoGD0WnM6vG-9wsXehBrMgv7	(Studies in Nonlinearity) Steven H. Strogatz - Nonlinear Dynamics and Chaos-Westview Press (2001).pdf	application/pdf	14385087	partial	nonlinear-dynamics-chaos
1zxLMuqIvnDoq0anWvw5EJB-8pye40ukD	Alternatives to the discrete fourier transdorm - Carnegie Mellon University.pdf	application/pdf	541231	read	alternatives-dft
1RZLhFlst52eJMRIMWh_6uWemNgIisO1s	PoleZero MIT .pdf	application/pdf	169613	read	pole-zero-mit
1J-KcAK_HFzn1JCNgxKNSpVL6EchKo1qT	Proof of Divergence Theorem - EL Lady.pdf	application/pdf	42921	read	divergence-theorem-proof
1yVZPEP64kYcXcm5PF6UFtIY-oX9MyDkS	MIT18_V10.2 The Divergance Theorem.pdf	application/pdf	76828	read	mit-divergence-theorem
1xvxaJKbpP-7TzOznRsuuPzelPw1ihyx3	Gauss Divergance Theorem.pdf	application/pdf	1018146	read	gauss-divergence-theorem
15Lew2Gsu0AVIvKF-6QtgV2oqD1670JJj	The foundations of mathematics - Ian Stewart David Tall.pdf	application/pdf	2977835	partial	foundations-of-mathematics-stewart-tall
1U4L0uY5t4ct8xg6eMvilFfEpVN-QY91n	One Variable Calculus With An Introduction To Linear Algebra - Apostol.pdf	application/pdf	16793901	partial	apostol-calculus
1bhtXgC7dSjkkFydhOszSuTYhtZwcCaRG	Beardon-Algebra and Geometry.pdf	application/pdf	4589218	partial	beardon-algebra-geometry
1Hj62q03gtdBgUWV1p4z9HJapT0rsX5Jx	foundations.pdf	application/pdf	794808	partial	foundations-pdf
12C6mGL7Vc54my9ktRYUSSJRT34NpOe9K	Digital Signal Processing Using Matlab v4.0 (John G Proakis).pdf	application/pdf	11322379	partial	dsp-matlab-proakis
1kRsIpzSsZIwTyFNbF7BsJzbQcT19HMES	Graphs of Polar Equations.pdf	application/pdf	1700996	read	polar-equations-graphs
1AEfgG07s36Aod9Y5pGFdilaIyoJosuvT	Stroud-EngineeringMathematics1stEd.pdf	application/pdf	18027549	partial	stroud-engineering-mathematics
