concept_term	aliases_seen	one_line_definition	doc_slug
Rayleigh wave	surface wave, SAW	An elastic wave propagating along a free surface of a solid half-space with retrograde elliptical particle motion and amplitude decaying exponentially with depth	rayleigh-lamb-waves-basic-principles-worden-2001
Rayleigh wave	surface acoustic wave	An elastic wave propagating along a free surface of a solid half-space with retrograde elliptical particle motion and amplitude decaying exponentially with depth	rayleigh-wave-wedge-tip-enhancement-edwards-2011
Rayleigh wave	SAW	An elastic wave propagating along a free surface of a solid half-space with retrograde elliptical particle motion and amplitude decaying exponentially with depth	ndp-pressure-measurement-ling-2009
Rayleigh wave speed	Rayleigh wave velocity, cR	Phase velocity of a Rayleigh wave in an isotropic solid, approximately 0.92 × shear wave velocity; given by the real root of the cubic secular equation	approximation-rayleigh-wave-speed-pichugin
Rayleigh wave speed	cR	Phase velocity of a Rayleigh wave in an isotropic solid, approximately 0.92 × shear wave velocity; given by the real root of the cubic secular equation	surface-waves-dispersion-lecture-anu
Rayleigh wave penetration depth	(kβL)^-1, (kβt)^-1	Depth scale over which Rayleigh wave displacement amplitude decays; expressed as fractions of wavelength and dependent on Poisson ratio	penetration-depth-rayleigh-soczkiewicz-1997
Love wave	SH surface wave	A surface wave consisting purely of horizontal shear (SH) motion, requiring a velocity-layered medium to exist	surface-waves-dispersion-lecture-anu
Lamb wave	guided plate wave	A guided elastic wave in a plate with traction-free surfaces; exists in symmetric (S) and antisymmetric (A) mode families, all dispersive	rayleigh-lamb-waves-basic-principles-worden-2001
Lamb wave	guided wave	A guided elastic wave in a plate with traction-free surfaces; exists in symmetric (S) and antisymmetric (A) mode families, all dispersive	strategies-guided-wave-shm-croxford-2007
Lamb wave	A0, S0 modes	A guided elastic wave in a plate with traction-free surfaces; exists in symmetric (S) and antisymmetric (A) mode families, all dispersive	lamb-wave-interface-stiffness-drinkwater-2003
Frequency-thickness product	f·d	The product of wave frequency and plate thickness governing Lamb wave dispersion; modes and phase velocities depend on this single parameter	rayleigh-lamb-waves-basic-principles-worden-2001
Frequency-thickness product	f·d	The product of wave frequency and plate thickness governing Lamb wave dispersion; modes and phase velocities depend on this single parameter	rayleigh-wave-wedge-tip-enhancement-edwards-2011
Dispersion	dispersive wave	Dependence of wave phase velocity on frequency, causing different frequency components to travel at different speeds and a pulse to spread over time	surface-waves-dispersion-lecture-anu
Dispersion	dispersive wave	Dependence of wave phase velocity on frequency, causing different frequency components to travel at different speeds and a pulse to spread over time	rayleigh-lamb-waves-basic-principles-worden-2001
Group velocity	U = dω/dk	The velocity at which a wave packet (envelope) travels, equal to dω/dk; distinct from phase velocity for dispersive waves	surface-waves-dispersion-lecture-anu
Phase velocity	c = ω/k	The velocity at which a constant-phase wavefront propagates; can differ from group velocity in dispersive media	surface-waves-dispersion-lecture-anu
Acoustoelastic effect	acoustoelastic principle	The change in acoustic wave velocity caused by applied static stress; the basis of ultrasonic stress measurement	ndp-pressure-measurement-ling-2009
LCR wave	critically refracted longitudinal wave	A longitudinal ultrasonic wave that travels parallel to the surface at the critical angle; sensitive to near-surface stress	ndp-pressure-measurement-ling-2009
Near-field enhancement	wedge tip enhancement	Amplification of surface wave amplitude in the near-field of a crack or wedge defect due to constructive interference or mode conversion	rayleigh-wave-wedge-tip-enhancement-edwards-2011
Mode conversion	wave mode conversion	Transformation of one wave mode (e.g. Rayleigh) into another (e.g. A0 Lamb mode) when geometry changes, such as at a wedge or defect	rayleigh-wave-wedge-tip-enhancement-edwards-2011
Mode conversion	bulk-to-surface wave conversion	Transformation of one wave mode (e.g. Rayleigh) into another (e.g. A0 Lamb mode) when geometry changes, such as at a wedge or defect	rayleigh-wave-reflection-transmission-wedge-krylov-1985
Wedge scattering	Rayleigh wave at wedge	Reflection and transmission of a surface wave at the edge of a wedge-shaped substrate; produces oscillatory R/T vs. angle behaviour	rayleigh-wave-reflection-transmission-wedge-krylov-1985
Wedge scattering	corner scattering	Reflection and transmission of a surface wave at the edge of a wedge-shaped substrate; produces oscillatory R/T vs. angle behaviour	rayleigh-wave-scattering-vertical-edge-darinskii-2014
Structural health monitoring	SHM	Continuous or periodic automated monitoring of structural integrity using embedded or attached sensors, often with guided waves	strategies-guided-wave-shm-croxford-2007
Temperature compensation	temperature sensitivity of SHM	Correction for wave velocity changes due to temperature variation, essential for guided-wave SHM to reduce false alarms	strategies-guided-wave-shm-croxford-2007
Acoustic nonlinearity	nonlinear parameter β	Generation of harmonics during wave propagation due to material nonlinearity; the amplitude ratio A2/A1² is sensitive to micro-damage	nonlinear-laser-surface-wave-damage-jhang-2012
Second harmonic generation	SHG in ultrasonics	Production of a wave at twice the fundamental frequency due to nonlinear material response; used as a damage indicator	nonlinear-laser-surface-wave-damage-jhang-2012
Laser ultrasonics	laser-generated ultrasound	Generation and/or detection of ultrasonic waves using lasers; provides non-contact broadband excitation via thermoelastic mechanism	rayleigh-wave-wedge-tip-enhancement-edwards-2011
Laser ultrasonics	Nd:YAG laser source	Generation and/or detection of ultrasonic waves using lasers; provides non-contact broadband excitation via thermoelastic mechanism	nonlinear-laser-surface-wave-damage-jhang-2012
Interfacial stiffness	spring layer model	The stiffness per unit area of a solid–solid interface, modelled as a distributed spring with normal (KN) and shear (KT) components	lamb-wave-interface-stiffness-drinkwater-2003
Poisson ratio	σ, ν	The ratio of lateral to axial strain under uniaxial load; governs the ratio of longitudinal to shear wave speed and Rayleigh wave velocity	approximation-rayleigh-wave-speed-pichugin
Poisson ratio	σ, ν	The ratio of lateral to axial strain under uniaxial load; governs the ratio of longitudinal to shear wave speed and Rayleigh wave velocity	penetration-depth-rayleigh-soczkiewicz-1997
Transverse surface wave	Love-type interface wave	A shear-horizontal wave propagating at the interface between two elastic media held in elastic contact; velocity influenced by pre-stress	constant-stresses-transverse-surface-waves-reddy-rao-1988
Elastic constraint at interface	slip boundary, Ro	A spring-like coupling parameter R between two contacting media characterising partial slip; modifies transverse interface wave dispersion	constant-stresses-transverse-surface-waves-reddy-rao-1988
Perfectly matched layer	PML	An artificial absorbing boundary used in FEM simulations to truncate computational domains and suppress spurious reflections	rayleigh-wave-scattering-vertical-edge-darinskii-2014
