concept	doc_slug	notes
acoustic impedance	lect-ultrasound-physics-basic	Z = ρc; determines reflection/transmission at interfaces; tabulated for tissues/materials
acoustic impedance	kinsler-fundamentals-acoustics	fundamental acoustic quantity; specific acoustic impedance Z = p/v = ρc for plane waves
acoustic impedance	brekhovskikh-waves-layered-media-1960	impedance matching at layered media interfaces; reflection/transmission coefficients
acoustic impedance	auld-transmission-line	transmission line analogy; characteristic impedance Z₀ = ρv
acoustic impedance	berger-linzer-ultrasonic-materials-characterization	measurement of impedance for materials characterization
acoustic impedance	keler-elastic-properties-glass	impedance from pulse-echo measurements on glass/ceramics
acoustic intensity	jacobsen-juhl-general-linear-acoustics	active and reactive intensity; complex intensity; vector intensity field
acoustic intensity	fundamentals-acoustics-wikibooks	I = p·v; time-averaged intensity; decibels and sound pressure level
acoustic intensity	carley-bath-acoustics-notes	I = (1/2)Re[p v*] for harmonic waves; radiation from sources
acoustic intensity	nyu-wave-momentum	wave momentum = energy/phase_velocity; intensity = energy flux
attenuation	krautkramer-ultrasonic-testing	diffraction, scattering, absorption losses in NDT; measurement methods
attenuation	lect-ultrasound-physics-basic	1 dB/cm/MHz in soft tissue; frequency dependence; tissue-specific values
attenuation	fundamentals-acoustics-wikibooks	α ∝ ω² in classical absorption; viscous and thermal contributions
attenuation	brekhovskikh-waves-layered-media-1960	attenuation in layered media; leaky modes; evanescent waves
attenuation	carley-turbulence-noise	α ∝ ω² for viscous fluid attenuation
attenuation	helsinki-wave-propagation-lect-notes	α ∝ ω²(4η/3 + ζ)/ρc³ for viscous+bulk viscosity contributions
bulk modulus	adiabatic-bulk-moduli	adiabatic vs. isothermal bulk modulus; K_ad = γK_iso; relevance to wave speed
bulk modulus	fundamentals-acoustics-wikibooks	c = √(K/ρ) for fluids; compressibility K = 1/B
bulk modulus	mason-1947-shear-viscosity	shear elasticity measurement via resonant crystals; analogous to bulk modulus measurement
Christoffel equation	helsinki-wave-propagation-lect-notes	gives phase velocities and polarizations for given propagation direction in anisotropic media
Christoffel equation	anisotropic-elasticity-linear	eigenvalue problem C_ijkl n_j n_l; slowness surface
diffraction	lect-ultrasound-physics-basic	near field (Fresnel) vs far field (Fraunhofer) zones; D = d²/(4λ)
diffraction	kinsler-fundamentals-acoustics	Fraunhofer diffraction patterns; circular aperture radiation
diffraction	rayleigh-theory-of-sound	Rayleigh's classic treatment of diffraction by apertures and obstacles
diffraction	fundamentals-acoustics-wikibooks	Huygens principle; Babinet's theorem; Fresnel zones
elastic constants	keler-elastic-properties-glass	Young's modulus E, shear modulus G, Poisson's ratio ν from pulse-echo; glass/ceramics
elastic constants	anisotropic-elasticity-linear	Voigt notation; 21 independent constants for triclinic; symmetry reduction
