concept_term	aliases_seen	one_line_definition	doc_slug
flash temperature	flash temperature concept	Transient peak surface temperature rise at a moving sliding contact, superimposed on bulk temperature	blok-1963-flash-temperature-concept
thermal contact coefficient	effusivity; b = sqrt(k·rho·c)	Material property sqrt(k·rho·c) governing how much heat a surface absorbs from a moving source	blok-1963-flash-temperature-concept
heat partition ratio	energy partition ratio	Fraction of total frictional/grinding heat conducted into each contacting body	blok-1963-flash-temperature-concept; lefebvre-2006-foil-thermocouple
scuffing	seizure; adhesive wear	Sudden surface damage on lubricated rubbing components caused by breakdown of the oil film at high flash temperatures	blok-1963-flash-temperature-concept
maximum temperature rise (MTR)	peak temperature; delta_T_qs	Highest temperature elevation at the workpiece surface during one grinding pass	lefebvre-2006-foil-thermocouple
grindable thermocouple	foil/workpiece thermocouple; intrinsic thermocouple	In-process temperature sensor formed by a thin metallic foil ground into the workpiece surface, acting as a thermocouple junction	lefebvre-2006-foil-thermocouple
transparency error	systematic measurement error; Es	Fractional error introduced by a sensor that perturbs the thermal field it is measuring	lefebvre-2006-foil-thermocouple
arc contact length	wheel–workpiece contact length; le	Length of the grinding wheel–workpiece contact zone, governing heat source footprint	lefebvre-2006-foil-thermocouple
specific grinding energy	specific energy	Energy required to remove a unit volume of material by grinding (~10× higher than cutting due to small chip size)	shaw-1996-principles-abrasive-processing
abrasive machining	abrasive processing; grinding	Material removal using hard abrasive particles at high speed, capable of competing with conventional cutting	shaw-1996-principles-abrasive-processing
laser flash method	flash diffusivity; LFA technique	Standard technique for measuring thermal diffusivity by pulsed laser heating of one face and recording rear-face temperature rise	blumm-2002-flash-diffusivity-model
Cape–Lehman model		Analytical solution for laser flash data including facial and radial heat losses from a cylindrical sample	blumm-2002-flash-diffusivity-model
thermal diffusivity	alpha; a	Ratio of thermal conductivity to volumetric heat capacity, governing rate of temperature diffusion	blumm-2002-flash-diffusivity-model
surface roughness	Rq; Ra; roughness parameters	Statistical description of surface topography deviations from a mean plane	saniman-2020-ultrasonic-roughness-non-gaussian
skewness (Rsk)	surface skewness	Third-moment statistical parameter describing asymmetry of surface height distribution; negative for honed/ground surfaces	saniman-2020-ultrasonic-roughness-non-gaussian
kurtosis (Rku)	surface kurtosis	Fourth-moment parameter measuring peakedness of the height distribution	saniman-2020-ultrasonic-roughness-non-gaussian
Johnson distribution		Flexible family of probability distributions that generalizes Gaussian to describe non-Gaussian surface height PDFs	saniman-2020-ultrasonic-roughness-non-gaussian
Kirchhoff characteristic function		Fourier-transform of the height PDF used in Kirchhoff scattering theory to relate reflection coefficient to surface statistics	saniman-2020-ultrasonic-roughness-non-gaussian
pitch-catch configuration	PC ultrasound	Ultrasonic measurement setup where transmitter and receiver are at oblique angles to the surface; used to characterize Rq	saniman-2020-ultrasonic-roughness-non-gaussian
pulse-echo configuration	PE ultrasound	Ultrasonic measurement setup where transmitter and receiver are co-located normal to the surface; used to characterize Rsk	saniman-2020-ultrasonic-roughness-non-gaussian
Peclet number (grinding)	Pe_w	Dimensionless number V_w·l_e/alpha_w characterizing the ratio of advection to diffusion in the workpiece during grinding	lefebvre-2006-foil-thermocouple
moving heat source theory	Jaeger solution; Rosenthal solution	Analytical framework for temperature fields generated by a heat source moving along a solid surface	blok-1963-flash-temperature-concept; lefebvre-2006-foil-thermocouple
