concept_term	aliases_seen	one_line_definition	doc_slug
spring interface model	spring model, Tattersall model	Quasi-static model treating a thin fluid layer as a spring of stiffness K=ρc²/h, relating ultrasonic reflection coefficient to layer thickness at sub-resonance frequencies	dwyer-joyce-lubricant-film-ultrasound-2003; gasni-phd-thesis-ultrasonic-oil-film; pialucha-cawley-thin-layers-1994
reflection coefficient	R, acoustic reflection coefficient	Ratio of reflected to incident ultrasonic amplitude at an interface or layer; depends on acoustic impedances and frequency	dwyer-joyce-lubricant-film-ultrasound-2003; pialucha-cawley-thin-layers-1994; gasni-phd-thesis-ultrasonic-oil-film
acoustic impedance	z, impedance mismatch	Product of material density and speed of sound (z=ρc); governs reflection and transmission at interfaces	ultra-viscoson-roth-rich-1953; dwyer-joyce-lubricant-film-ultrasound-2003; pialucha-cawley-thin-layers-1994; gasni-phd-thesis-ultrasonic-oil-film
layer resonance frequency	through-thickness resonance, film resonance	Frequency at which the film thickness equals half a wavelength (h=c/2f); at this frequency the layer is acoustically transparent	dwyer-joyce-lubricant-film-ultrasound-2003; pialucha-cawley-thin-layers-1994
elastohydrodynamic lubrication	EHL, EHD lubrication	Lubrication regime in highly-loaded non-conformal contacts where elastic deformation and pressure-dependent viscosity both play roles	dwyer-joyce-lubricant-film-ultrasound-2003; gasni-phd-thesis-ultrasonic-oil-film
iso-viscous EHL	I-EHL, soft EHL	EHL regime where lubricant viscosity remains approximately constant (typical of polymer/rubber contacts); large elastic deformation, low contact pressure	gasni-phd-thesis-ultrasonic-oil-film
phase-shift method	phase difference method	Film-thickness technique using the phase change of the reflected ultrasonic pulse, valid for acoustically dissimilar contacts where the amplitude method fails	gasni-phd-thesis-ultrasonic-oil-film
skin depth	δ, shear-wave skin depth	Path length in a viscous liquid over which shear-wave amplitude falls to 1/e; δ=(2η/ωρ)^(1/2); determines minimum sample volume for viscometry	ultra-viscoson-roth-rich-1953
driving-point impedance	input impedance	Ratio of stress to particle velocity at the surface of a probe immersed in a medium; encapsulates all effects of the surrounding material on probe damping	ultra-viscoson-roth-rich-1953
magnetostrictive transducer	magnetostrictive strip	Transducer using a magnetostrictive alloy strip that converts magnetic excitation into mechanical shear vibrations; basis of the Ultra-Viscoson viscometer	ultra-viscoson-roth-rich-1953
Rayleigh wave	surface acoustic wave, SAW	Elastic wave that propagates along a solid surface with displacement decaying exponentially into the bulk; sensitive to surface contacts and coatings	gasni-phd-thesis-ultrasonic-oil-film
time-of-flight method	ToF method	Thickness measurement from the time between two discrete ultrasonic echoes; applicable only when film thickness > ~3 pulse wavelengths (~40 µm)	dwyer-joyce-lubricant-film-ultrasound-2003
continuum multi-layer model	transfer-matrix model	Wave propagation model enforcing continuity of stress and displacement at each layer boundary; valid for all film thicknesses and provides resonance predictions	dwyer-joyce-lubricant-film-ultrasound-2003; pialucha-cawley-thin-layers-1994
Jacobson-Vinet equation	high-pressure lubricant model	Equation of state relating lubricant bulk modulus and density to applied pressure; used to estimate speed of sound in lubricant under EHD conditions	dwyer-joyce-lubricant-film-ultrasound-2003
Dowson-Higginson equation	EHD film-thickness regression	Empirical regression equation for central EHD film thickness as a function of load, speed, lubricant viscosity, pressure-viscosity coefficient, and contact geometry	dwyer-joyce-lubricant-film-ultrasound-2003
dynamic viscosity	frequency-dependent viscosity	Viscosity measured by oscillatory (ultrasonic) methods; may differ from static (zero-frequency) flow viscosity for non-Newtonian materials	ultra-viscoson-roth-rich-1953
non-Newtonian fluid	viscoelastic fluid	Fluid whose viscosity depends on shear rate or frequency; requires specification of measurement conditions for meaningful results	ultra-viscoson-roth-rich-1953
frequency-thickness product	ft scaling	The reflection coefficient from a thin layer is a function of frequency × thickness, not of either independently; allows prediction of R at unmeasured thicknesses	pialucha-cawley-thin-layers-1994
focused ultrasonic transducer	immersion transducer	Transducer with a curved element or lens that concentrates ultrasonic energy at a focal point, improving spatial resolution in film measurements	dwyer-joyce-lubricant-film-ultrasound-2003; gasni-phd-thesis-ultrasonic-oil-film
wedge transducer	angle-beam transducer	Transducer with a wedge-shaped coupling element used to excite surface or shear waves at a specific angle into a solid component	gasni-phd-thesis-ultrasonic-oil-film
cavitation	exit-region cavitation	Formation of vapour or gas bubbles in the low-pressure exit zone of an EHL contact; detected ultrasonically as signal anomalies in the exit region	gasni-phd-thesis-ultrasonic-oil-film
half-resonance frequency	fhalf	Frequency halfway between two consecutive layer resonances; at this frequency R_half = (z1·z3 − z2²)/(z1·z3 + z2²), maximum sensitivity to layer impedance	pialucha-cawley-thin-layers-1994
