concept_term	aliases_seen	one_line_definition	doc_slug
Fourier Transform	CTFT, continuous-time Fourier transform	Integral transform decomposing a signal into its frequency components	2d-fourier
2D Fourier Transform	2D-CTFT, 2D-DFT	Extension of the Fourier transform to two-dimensional signals (e.g. images)	2d-fourier
Discrete Fourier Transform	DFT	Computes N frequency samples from N time-domain samples; associated with circular convolution	2d-fourier
Discrete Cosine Transform	DCT	Real-valued transform using cosine basis functions; used heavily in image/audio compression	2d-fourier
DTFT	Discrete-Time Fourier Transform	FT of a discrete aperiodic signal; periodic and continuous in frequency	2d-fourier
Parseval / Plancherel equality	energy conservation	Energy in time domain equals energy in frequency domain	2d-fourier
Separability	separable 2D FT	The 2D DFT can be computed as successive 1D DFTs along rows then columns	2d-fourier
Polynomial algebra	C[x]/p(x)	Vector space of polynomials of degree < n with multiplication modulo p(x)	alternatives-dft
Vandermonde matrix	Vandermonde structure	Matrix V_{kl} = alpha_k^l where alpha_k are evaluation points	alternatives-dft
Beraha-Kahane-Weiss theorem	BKW theorem	Characterises the limit of zeros of recursively defined polynomial sequences	alternatives-dft
Circular convolution	periodic convolution	Convolution with periodic signal extension; associated with DFT (p_n = x^n - 1)	alternatives-dft
Control volume	CV	Closed simply-connected region in space used for integral balance laws	aa210a-control-volumes
Gauss's theorem	Divergence theorem	Volume integral of divergence = surface integral of flux	aa210a-control-volumes
Stokes' theorem	curl theorem	Surface integral of curl = line integral around boundary	aa210a-control-volumes
Kronecker delta	delta_ij, unit tensor	Tensor equal to 1 when i=j and 0 otherwise; acts as identity on tensors	aa210a-control-volumes
Levi-Civita tensor	epsilon_ijk, alternating tensor	Totally antisymmetric rank-3 tensor; encodes the cross product	aa210a-control-volumes
Complex number	imaginary number	Number of the form a + bi where i^2 = -1	complex-numbers
Argand plane	complex plane	2D geometric representation of complex numbers as points (a, b)	complex-numbers
Euler's formula	Euler identity	e^{i theta} = cos(theta) + i sin(theta)	complex-numbers
Complex conjugate	conjugate, z-bar	For z = a + bi, z-bar = a - bi; used for division and to compute |z|^2	complex-numbers
Partial differential equation	PDE	Equation involving partial derivatives of a function of several variables	ma250-pde
