concept_term	aliases_seen	one_line_definition	doc_slug
laser ultrasonics	laser-generated ultrasound; laser-based ultrasonics	Generation and/or detection of ultrasonic waves using pulsed or CW lasers, without physical contact with the specimen.	some-applications-laser-ultrasound-scruby
thermoelastic regime	thermoelastic effect; thermo-optical regime	Laser pulse intensity low enough that thermal expansion (not ablation) launches elastic waves; non-destructive; principal stresses parallel to surface.	some-applications-laser-ultrasound-scruby
ablation regime	ablation source	Laser intensity high enough to vaporise surface material, producing a reactive normal stress and a broad compressional lobe; slight surface damage occurs.	some-applications-laser-ultrasound-scruby
surface acoustic wave	SAW; Rayleigh wave	Elastic wave confined to the near-surface region, with displacement decaying exponentially with depth; wavelength determines penetration depth.	graded-coating-inspection-laser-saw
SAW phase velocity dispersion	dispersion curve	Variation of SAW phase velocity with frequency in layered or graded media, enabling depth-profiling of elastic properties.	graded-coating-inspection-laser-saw
functionally graded material	FGM; graded coating	Material with spatially varying composition and microstructure producing continuously changing properties, often modelled as a stack of homogeneous layers.	graded-coating-inspection-laser-saw
rule of mixtures	modified rule of mixtures; MROMs	Formula relating effective composite elastic modulus to constituent moduli and volume fractions; MROMs adds an empirical stress-strain transfer coefficient Q.	graded-coating-inspection-laser-saw
transfer matrix method	stiffness matrix method	Recursive matrix technique linking stress and displacement fields across layers; used to solve multilayer wave propagation problems analytically.	graded-coating-inspection-laser-saw
inversion algorithm	downhill simplex; SAW inversion	Optimisation procedure that fits measured SAW dispersion data to a forward model to recover depth-dependent material properties.	graded-coating-inspection-laser-saw
picosecond ultrasonics	ultrafast ultrasonics; pump-probe ultrasonics	Pump-probe optical technique using femtosecond/picosecond laser pulses to generate and detect acoustic pulses in the GHz–THz range, enabling nanometre thin-film measurements.	pulse-echo-sound-velocity-nanofilms
superlattice phonon dispersion	Rytov dispersion relation; mini-Brillouin zone	Acoustic phonon dispersion relation in a periodic multilayer (Bloch waves); at low frequency the effective velocity depends on layer velocities and impedances.	pulse-echo-sound-velocity-nanofilms
effective sound velocity	superlattice effective velocity; c_eff	Group velocity of acoustic pulses propagating in a periodic multilayer at the long-wavelength limit, determined by the Rytov dispersion formula.	pulse-echo-sound-velocity-nanofilms
acoustic impedance	Z = ρc	Product of material density and sound velocity; mismatch between layers determines wave reflection and transmission at interfaces.	pulse-echo-sound-velocity-nanofilms
cross-correlation time delay	time delay estimation; cross-correlation velocity measurement	Signal processing technique matching two consecutive echo waveforms to measure round-trip propagation time with precision below the digitiser sampling interval.	precision-laser-ultrasonic-velocity-elastic-constants
diffraction correction	acoustic diffraction bias	Systematic velocity overestimate caused by the finite source size in pulse-echo measurement; derived differently for laser (dipolar/normal stress) vs. piston sources.	precision-laser-ultrasonic-velocity-elastic-constants
phase velocity dispersion	frequency-dependent velocity; dispersive propagation	Variation of phase velocity with frequency in scattering or absorbing media; measured by frequency-domain cross-correlation of echoes.	precision-laser-ultrasonic-velocity-elastic-constants
elastic constants	Lame constants; Young's modulus; Poisson's ratio; C11, C12, C44	Second-order stiffness tensor components relating stress and strain; fully characterise linear elastic response of isotropic or anisotropic solids.	precision-laser-ultrasonic-velocity-elastic-constants
electromagnetic acoustic transducer	EMAT	Non-contact transducer using Lorentz and magnetostrictive forces to generate/detect ultrasound in electrically conducting materials without couplant; sensitive to lift-off.	non-contact-ultrasonic-techniques-green
air-coupled ultrasonics	gas-coupled; air-coupled detection	Ultrasonic generation or detection using air as the coupling medium; enables non-contact inspection but suffers from large impedance mismatch with solids.	non-contact-ultrasonic-techniques-green
holographic interferometry	pulsed holography; full-field imaging	Optical technique recording interference between a reference beam and light reflected from a vibrating surface; provides full-field images of ultrasonic wavefronts.	non-contact-ultrasonic-techniques-green
spatial modulation	line source mask; periodic mask	Use of a patterned transmission mask to illuminate the test surface with a periodic intensity pattern, generating narrowband toneburst surface waves at a selectable frequency.	non-contact-ultrasonic-techniques-green
dipole source model	horizontal force pair; centre of expansion	Simplified equivalent source for thermoelastic laser generation: two equal and opposite horizontal forces at the surface, producing characteristic oblique-lobe directivity for shear and longitudinal waves.	directivity-laser-generated-sound-krylov
Rayleigh determinant	F(k) = (2k²−kt²)² − 4k²νlνt	Characteristic equation whose real root kR gives the Rayleigh wave wavenumber; poles of the Green's function integral correspond to Rayleigh wave excitation.	directivity-laser-generated-sound-krylov
thermal wavenumber	kT; thermal wave	Complex wavenumber of the thermal diffusion wave launched in the solid by laser heating; kT >> kl,t at NDT frequencies, making the thermal penetration depth very small.	directivity-laser-generated-sound-krylov
directivity pattern	radiation pattern; beam pattern	Angular dependence of acoustic amplitude radiated from a source; for laser generation differs fundamentally from piezoelectric transducers due to the thermoelastic source geometry.	directivity-laser-generated-sound-krylov
Michelson interferometer	laser interferometer; phase-locked interferometer	Two-beam optical interferometer used to measure surface displacement with sub-nanometre resolution; phase-locking stabilises against low-frequency vibration.	some-applications-laser-ultrasound-scruby
time-of-flight diffraction	TOFD	Ultrasonic technique measuring arrival time of waves diffracted from crack tips to size and locate defects; benefits from the short broadband pulses of laser generation.	some-applications-laser-ultrasound-scruby
