concept_term	aliases_seen	one_line_definition	doc_slug
Transmission line	TL, t-line, coaxial line, microstrip, stripline	A two-conductor or planar structure that guides EM waves between source and load, characterized by distributed R, L, G, C parameters per unit length.	transmission-line-circuit-model
Characteristic impedance	Z0, surge impedance	The ratio of forward voltage wave to forward current wave on a transmission line: Z0 = sqrt((R+jωL)/(G+jωC)); equals 50 Ω by convention in RF systems.	transmission-line-parameters
Reflection coefficient	Gamma, Γ	Complex ratio of reflected-to-incident voltage wave at a discontinuity: Γ = (ZL–Z0)/(ZL+Z0); |Γ| = 0 for matched load, 1 for open/short.	transmission-line-parameters
Standing Wave Ratio	SWR, VSWR, Voltage Standing Wave Ratio	Ratio of maximum to minimum voltage magnitude on a transmission line: SWR = (1+|Γ|)/(1–|Γ|); equals 1 for perfect match, ∞ for open/short.	transmission-line-parameters
Return loss	RL	Power ratio (dB) of incident to reflected power: RL = –20 log|Γ| dB; higher is better (–∞ dB = perfectly matched).	transmission-line-parameters
Smith chart	impedance chart	A polar plot of the reflection coefficient Γ, with overlaid constant-resistance and constant-reactance circles derived from the normalized impedance z = (1+Γ)/(1–Γ).	smith-chart-derivation
Propagation constant	gamma, γ = α + jβ	Complex wave propagation factor for a transmission line or medium; α is the attenuation constant (Np/m), β is the phase constant (rad/m).	propagation-constant
Attenuation constant	alpha, α	Real part of γ; rate of exponential decay of wave amplitude with distance. Units: Np/m or dB/m.	propagation-constant
Phase constant	beta, β, wave number	Imaginary part of γ; spatial rate of phase change: β = 2π/λ = ω/vp. Units: rad/m.	propagation-constant
Phase velocity	vp	Speed at which a constant-phase point moves along the line: vp = ω/β = fλ. In free space vp = c = 1/sqrt(με0).	phase-group-velocity
Group velocity	vg	Speed at which the envelope of a wave packet (or the energy) propagates: vg = dω/dk. Equal to vp in non-dispersive media.	phase-group-velocity
Quarter-wave transformer	λ/4 transformer	A transmission-line section of length λ/4 with characteristic impedance Z' = sqrt(Z0·ZL), used to match Z0 to a real load ZL.	quarter-wavelength-transformer
Telegrapher's equations	transmission-line equations	Coupled PDEs describing voltage and current on a transmission line: ∂V/∂x = –RI – L∂I/∂t and ∂I/∂x = –GV – C∂V/∂t.	transmission-line-circuit-model
Helmholtz equation	vector Helmholtz equation	Wave equation in phasor form: ∇²E + k²E = 0 where k = ω√(με); governs field distribution in waveguides and resonators.	collin-em-theory
Microstrip	microstrip line	A planar transmission line with a conducting strip on one side of a dielectric substrate and a ground plane on the other; supports quasi-TEM mode.	collin-transmission-lines-waveguides
Waveguide	hollow-pipe waveguide, rectangular waveguide	A hollow metallic tube that guides EM waves via TE and TM modes; does not support TEM; has a cut-off frequency below which propagation is evanescent.	collin-transmission-lines-waveguides
TE mode	transverse electric mode	Waveguide mode with no axial electric field component (Ez = 0); magnetic field has an axial component.	collin-transmission-lines-waveguides
