concept_term	aliases_seen	one_line_definition	doc_slug
interfacial stiffness	unit contact stiffness, K	Stiffness per unit area of a partially-contacting interface, defined as dP_nom/du; the key parameter extracted from ultrasonic reflection coefficients	kendall-tabor-1971-ultrasonic-contact-area
reflection coefficient	R, modulus of reflection coefficient	Ratio of reflected to incident ultrasonic wave amplitude at an interface; depends on interfacial stiffness K and frequency ω	drinkwater-1996-partially-contacting-interface
spring model	quasi-static spring model, spring-dashpot model	Long-wavelength approximation treating a partially-contacting interface as a distributed elastic spring layer characterised by stiffness K per unit area	baik-thompson-1984-quasi-static
real contact area	RCA, A/A₀, fraction of real contact area	Actual fraction of nominal contact area where asperities are in solid–solid contact; much less than apparent area for rough surfaces	kendall-tabor-1971-ultrasonic-contact-area
contact stiffness	K, unit contact stiffness	Rate of change of contact pressure with interfacial approach displacement; measurable from ultrasonic multi-frequency transmission data	prediction-contact-parameters-ultrasonic-krolikowski-1991
viscous friction coefficient	η, coefficient of viscous friction	Damping parameter in the acoustic contact model representing viscous energy dissipation at asperity micro-contacts; related to real contact area	prediction-contact-parameters-ultrasonic-krolikowski-1991
reradiation damping	β, coefficient of reradiation damping	Energy loss mechanism in which oscillating contact asperities radiate acoustic energy back into the surrounding medium	ultrasonic-investigation-high-hydrostatic-pressure-krolikowski-1989
Bush-Gibson-Thomas model	BGT model	Asymptotic statistical rough-surface contact model treating asperities as random elliptical paraboloids; best overall match to ultrasonic measurements among classical models	prediction-contact-parameters-ultrasonic-krolikowski-1991
Greenwood-Williamson model	GW model	Statistical elastic contact model assuming Gaussian distribution of hemisphere-capped asperities with uniform radius; tends to underpredict stiffness and contact area for real surfaces	prediction-contact-parameters-ultrasonic-krolikowski-1991
acoustic impedance	Z	Product of material density and acoustic wave velocity (Z = ρv); mismatch across an interface determines baseline reflection coefficient	kendall-tabor-1971-ultrasonic-contact-area
time-of-flight measurement	TOF	Ultrasonic technique measuring round-trip travel time to determine material thickness or wear depth	brunskill-2013-thesis-ultrasonic-reflectometry
resonant dip technique	frequency dip method	Frequency-domain technique using destructive interference dips to measure thin material thickness when echoes overlap in time domain	brunskill-2013-thesis-ultrasonic-reflectometry
photoelastic method	photoelasticity	Optical technique using birefringent material to visualise internal stress distribution under load	acoustic-waves-noncohesive-cylinders-huillard-2011
Hertz contact law	Hertzian contact	Elastic contact theory predicting F ∝ δ^(3/2) for spheres and a logarithmic F-δ relation for cylinders	acoustic-waves-noncohesive-cylinders-huillard-2011
wave velocity in granular media	V ∝ F₀^β	Sound wave speed in a 1D granular chain depends on confining force via power law; exponent β relates to contact law nonlinearity	acoustic-waves-noncohesive-cylinders-huillard-2011
Nesterenko solitary wave	granular soliton	Large-amplitude nonlinear solitary wave propagating in 1D bead chains without a prestress, predicted by Nesterenko (1983)	acoustic-waves-noncohesive-cylinders-huillard-2011
junction growth	adhesion junction growth	Increase in true contact area of ductile metals during sliding due to adhesive junctions growing under combined normal and tangential stresses	kendall-tabor-1971-ultrasonic-contact-area
hydrostatic pressure loading	high-pressure vessel loading	Method of applying contact pressure uniformly using a pressurised fluid enclosure, enabling study of very high contact pressures without specimen damage	ultrasonic-investigation-high-hydrostatic-pressure-krolikowski-1989
phase shift of reflection coefficient	φ	Phase angle of the complex reflection coefficient at a contact interface; provides a functional relationship between K and A/A₀ but cannot separate them independently	phase-shift-reflection-coefficient-krolikowski-1992
bearing ratio	P', Abbott-Firestone curve	Fractional area of a surface cross-section at a given height; used as a proxy for real contact area after plastic deformation	novel-stage-ultrasonic-rca-measurement-polijaniuk-1993
transverse ultrasonic waves	shear waves, T-waves	Ultrasonic waves with particle motion perpendicular to propagation direction; less sensitive to applied normal stress, used as alternative to longitudinal waves for RCA measurement	novel-stage-ultrasonic-rca-measurement-polijaniuk-1993
air referencing	air reference measurement	Pre-contact measurement of full reflection from a solid-air interface used as the 100 % baseline for computing reflection coefficient R	brunskill-2013-thesis-ultrasonic-reflectometry
asperity shakedown	bedding-in	Process by which repeated loading progressively eliminates plastic deformation until contact becomes nominally elastic; identified from hysteresis in R-load cycles	interaction-ultrasound-partially-contacting-interface-drinkwater-1996
contact pressure calibration	K-P calibration curve	Empirical linear relationship between interfacial stiffness K and contact pressure P_nom, obtained from a known-geometry loading experiment on the same material pair	brunskill-2013-thesis-ultrasonic-reflectometry
spectral moments	m₀, m₂, m₄	Statistical descriptors of a surface height profile used to characterise asperity density, radius, and height distribution in contact models	prediction-contact-parameters-ultrasonic-krolikowski-1991
