concept_term	aliases_seen	one_line_definition	doc_slug
Acoustoelastic effect	acousto-elastic effect; acoustoelasticity	The phenomenon where the velocity of elastic (ultrasonic) waves changes with applied or residual stress in a solid.	hughes-kelly-1953; smith-1963-acoustoelastic-review; kino-1979-acoustoelastic-imaging; castellano-2017-hughes-kelly-man-lu; clark-mignogna-1983-two-theories; degtyar-rokhlin-1997-interface-stress; chen-mills-2015-bearing-tof
Murnaghan third-order elastic constants	TOE constants; l, m, n (Murnaghan); third-order elastic constants	Three scalar constants (l, m, n) characterizing the cubic term in the strain-energy function of an isotropic solid; govern nonlinear acoustic effects.	hughes-kelly-1953; takahashi-motegi-1987-part1; takahashi-motegi-1987-part2; smith-1963-acoustoelastic-review; zarembo-krasilnikov-1971-nonlinear; mcskimin-andreatch-1967; chen-mills-2015-bearing-tof
Lamé constants	SOE constants; λ and μ; second-order elastic constants	The two second-order elastic constants (λ = bulk-like, μ = shear modulus) of an isotropic solid entering the classical stress-strain relation.	hughes-kelly-1953; takahashi-motegi-1987-part1; si-chaib-2002-bending; clark-mignogna-1983-two-theories; chen-mills-2015-bearing-tof
Hughes-Kelly model	Hughes-Kelly equations	Classical acoustoelastic equations (Hughes & Kelly 1953) expressing the stress-dependence of the nine principal wave velocities in an isotropic material using Murnaghan TOE constants.	hughes-kelly-1953; smith-1963-acoustoelastic-review; takahashi-motegi-1987-part1; castellano-2017-hughes-kelly-man-lu; clark-mignogna-1983-two-theories
Man-Lu model	Man-Lu universal relations	Acoustoelastic theory (Man & Lu 1987) using "universal relations" that relate velocity changes to stress without requiring knowledge of the third-order elastic constants.	castellano-2017-hughes-kelly-man-lu; degtyar-rokhlin-1997-interface-stress
Eulerian viewpoint	Eulerian frame; Eulerian strain	Description of deformation using coordinates fixed to the deformed state; in acoustoelasticity, leads to Eulerian TOE constants (l, m, n) distinct from Lagrangian ones.	takahashi-motegi-1987-part1; takahashi-motegi-1987-part2
Lagrangian viewpoint	Lagrangian frame; Lagrangian strain	Description of deformation using material (undeformed) coordinates; Hughes-Kelly and most classical work uses Lagrangian formulation.	takahashi-motegi-1987-part1; takahashi-motegi-1987-part2
Pseudo elastic coefficient	PEC	A 54-component tensor (Takahashi) connecting stress increments linearly to infinitesimal displacement gradients in the finitely deformed Eulerian frame.	takahashi-motegi-1987-part1
Shear wave birefringence	acoustic birefringence; shear wave splitting	The splitting of an ultrasonic shear wave into two orthogonally polarized components with different velocities when propagating normal to a uniaxial stress.	smith-1963-acoustoelastic-review; clark-mignogna-1983-two-theories; kino-1979-acoustoelastic-imaging; degtyar-rokhlin-1997-interface-stress
Time of flight	TOF; transit time; delay time	The time taken for an ultrasonic pulse to travel a known distance; changes with stress via the acoustoelastic effect and provides the primary measurement signal.	xu-ding-2014-bolt-emat; kim-2008-mode-converted-bolt; chen-mills-2015-bearing-tof; mcskimin-andreatch-1967
Mode conversion	mode-converted ultrasound; shear-to-longitudinal conversion	The transformation of one ultrasonic wave mode (e.g., shear) into another (e.g., longitudinal) at a surface or interface; exploited in bolt and bearing measurements to avoid length dependency.	xu-ding-2014-bolt-emat; kim-2008-mode-converted-bolt; degtyar-rokhlin-1997-interface-stress
EMAT	electromagnetic acoustic transducer	A non-contact ultrasonic transducer that generates and receives ultrasonic waves via electromagnetic induction, not requiring coupling fluid.	xu-ding-2014-bolt-emat
Rayleigh wave	surface wave; Rayleigh surface acoustic wave	An elastic wave that propagates along a free surface with particle motion in an elliptical retrograde orbit; depth penetration ~one wavelength; sensitive to near-surface stress.	hiro-1981-rayleigh-surface; ivanova-2017-steel-microstructure
Lamb wave	guided plate wave; A0 mode; S0 mode	Guided elastic waves in a thin plate; A0 = antisymmetric (flexural), S0 = symmetric (extensional) modes; used for large-area SHM.	rathod-2010-pvdf-lamb
PVDF	polyvinylidene fluoride; piezoelectric polymer film	A flexible piezoelectric polymer (β-phase) used as a broadband ultrasonic sensor; d₃₁ ≈ −37.69×10⁻¹² m/V; no resonance artifacts at high frequency.	rathod-2010-pvdf-lamb
Acoustoelastic coefficient	acoustoelastic constant; B; Lzz; K; M	Material-specific constant relating fractional velocity change to applied stress or strain; depends on SOE and TOE constants.	kino-1979-acoustoelastic-imaging; chen-mills-2015-bearing-tof; castellano-2017-hughes-kelly-man-lu; ivanova-2017-steel-microstructure; kim-2008-mode-converted-bolt
Sing-around technique	sing-around method	High-precision TOF measurement where a received echo re-triggers the transmitter; the resulting repetition frequency tracks the transit time; resolution ~1 in 10⁶.	smith-1963-acoustoelastic-review
Pulse superposition method	pulse superposition; McSkimin method	High-precision measurement where the pulse repetition rate is servo-controlled to align pulse superpositions; resolution ~1 in 10⁷.	mcskimin-andreatch-1967
Double-pulse-echo technique	phase detection method	Phase-based acoustoelastic measurement comparing two echoes from front and back surfaces; used in Kino's imaging system.	kino-1979-acoustoelastic-imaging
Preferred grain orientation	crystallographic texture; rolling texture	Non-random grain orientation in polycrystalline metals from processing (rolling, forging); causes acoustic birefringence that can mask stress-induced birefringence.	smith-1963-acoustoelastic-review; ivanova-2017-steel-microstructure; clark-mignogna-1983-two-theories
Dislocation effects on acoustics	dislocation-acoustic interaction	Interaction of ultrasonic waves with dislocation networks; affects attenuation and velocity; complicates stress measurement especially after plastic deformation.	erofeev-romashov-2004-dislocation-cyclic; serdobolskaya-2002-torsional-hysteresis; smith-1963-acoustoelastic-review; kube-turner-2016-scattering
Granato-Lucke string model	dislocation string model	Classical model (Granato & Lücke 1956) treating dislocations as vibrating strings pinned at ends; predicts monotonically increasing attenuation with dislocation density.	erofeev-romashov-2004-dislocation-cyclic
Preisach-Mayergoytz model	P-M model; hysteron model	Statistical model describing hysteresis via a distribution of two-state "hysteron" elements on the Preisach triangle; applied to acoustic velocity hysteresis under cyclic loading.	serdobolskaya-2002-torsional-hysteresis
Residual stress	internal stress	Stress remaining in a component after external loads are removed; acoustoelastic measurement of residual stress requires that the material's velocity is not permanently altered by prior plastic deformation.	johnson-1981-residual-stress; kino-1979-acoustoelastic-imaging; smith-1963-acoustoelastic-review; degtyar-rokhlin-1997-interface-stress
Carbon steel acoustoelastic constants	S20C; S30C; S40C; S50C	TOE constants measured for plain carbon steels of varying carbon content (Takahashi 1987); n varies with carbon content.	takahashi-motegi-1987-part2
Bending stress measurement	non-uniform stress; bending acoustoelasticity	Application of acoustoelasticity to measure the stress distribution across a cross-section under bending (non-uniform, depth-varying stress field).	si-chaib-2002-bending; hiro-1981-rayleigh-surface
Hilbert transform	instantaneous phase; envelope detection	Signal processing operation computing the analytic signal; used to extract instantaneous phase and remove contact-stiffness-dependent phase shifts in bearing ToF measurements.	chen-mills-2015-bearing-tof
