concept_term	aliases_seen	one_line_definition	doc_slug
bore distortion	cylinder bore distortion; bore deformation; bore roundness error	Deviation of the cylinder bore from a perfect circle, described by Fourier harmonic decomposition; caused by bolt clamping, thermal loads, and combustion pressure	abe-suzuki-toyota-bore-distortion-operation-1995; bird-gartside-federal-mogul-fired-bore-distortion-2002; maassen-koch-bore-distortion-optimization-2001; ghasemi-bore-distortion-cae-methodology-2012; liang-wang-bore-deformation-static-fourier-2017; patwardhan-paranjpe-bore-distortion-arai-2015; mirajkar-kanase-chhapkhane-bore-distortion-ansys-2013; soua-touratier-polac-gasket-cylinder-distortion-1999; yang-li-yu-distortion-optimization-spectrum-2016; kagnici-akalin-bore-distortion-oil-consumption-2014; manav-erpolat-ozdemir-intrabore-bore-distortion-2010; barbieri-giacopini-ferrari-bore-distortion-simplified; gode-bore-distortion-fea-thesis; selmani-delprete-bore-distortion-ringpack-blowby; mohammed-gokhale-liner-bore-distortion-params; fujimoto-goto-cylinder-bore-deformation-operating; ganguly-mahindra-two-wheeler-bore-deformation-reduction; udagawa-ko-gasket-bore-distortion; alshwawra-conical-liner-bore-distortion-2020; alshwawra-noncircular-liner-roundness-2019; koch-fahl-haas-fired-bore-measurement-1995
Fourier harmonic decomposition	Fourier order analysis; harmonic analysis; Fourier series; harmonic orders	Decomposition of bore cross-section radial deviation into orders: 0=diameter change, 1=eccentricity, 2=oval, 3=three-lobe, 4=cloverleaf, 6=six-lobe; dominant orders indicate cause	abe-suzuki-toyota-bore-distortion-operation-1995; tomanik-ring-conformability-criterion; bardzimashvili-kelly-romelashvili-ring-conformability-bounds; maassen-koch-bore-distortion-optimization-2001; ghasemi-bore-distortion-cae-methodology-2012; liang-wang-bore-deformation-static-fourier-2017; yang-li-yu-distortion-optimization-spectrum-2016; mirajkar-kanase-chhapkhane-bore-distortion-ansys-2013; bird-gartside-federal-mogul-fired-bore-distortion-2002; chen-adimi-ford-bore-distortion-oo-postprocessing; kagnici-akalin-bore-distortion-oil-consumption-2014; soderfjall-3d-oil-control-ring-bore-distortion; barbieri-giacopini-ferrari-bore-distortion-simplified; gibbs-bore-analysis-tool-bat-2001
ring conformability	piston ring conformability; ring conformance; ring-bore contact	Ability of a piston ring to elastically deform and follow the bore shape under its tangential load; quantified by Dunaevsky, GOETZE (Müller), or Tomanik criteria	tomanik-ring-conformability-criterion; bardzimashvili-kelly-romelashvili-ring-conformability-bounds; maassen-koch-bore-distortion-optimization-2001; gibbs-bore-analysis-tool-bat-2001; selmani-delprete-bore-distortion-ringpack-blowby; iijima-sakurai-oil-consumption-bore-deformation-2009; kagnici-akalin-bore-distortion-oil-consumption-2014; yang-li-yu-distortion-optimization-spectrum-2016; soderfjall-3d-oil-control-ring-bore-distortion; chittenden-priest-piston-assembly-bore-distortion-1993
Tomanik conformability criterion	Tomanik formula; Umax criterion	Ring conformability criterion: Umax = 10(i·k·r²−1) per harmonic order; % sealing = 113 − ub/Umax; developed by Eduardo Tomanik at Mahle	tomanik-ring-conformability-criterion; bardzimashvili-kelly-romelashvili-ring-conformability-bounds; gibbs-bore-analysis-tool-bat-2001; yang-li-yu-distortion-optimization-spectrum-2016
GOETZE conformability criterion	GOETZE formula; Müller formula; Aω criterion	Ring conformability criterion: Aω = 1.52·Q·r³/[E·h·t³·(ω²−1)²]; maximum conformable amplitude for harmonic order ω; attributed to GOETZE/Müller	maassen-koch-bore-distortion-optimization-2001; bardzimashvili-kelly-romelashvili-ring-conformability-bounds; tomanik-ring-conformability-criterion; yang-li-yu-distortion-optimization-spectrum-2016
Dunaevsky conformability criterion	Dunaevsky formula	Ring conformability criterion based on beam-on-elastic-foundation theory; overestimates conformability for k>2 due to Critical Curvature Assumption; less accurate at higher orders than GOETZE	bardzimashvili-kelly-romelashvili-ring-conformability-bounds; tomanik-ring-conformability-criterion
thermal bore distortion	thermal distortion; thermal deformation; thermally-induced bore distortion	Bore distortion caused by non-uniform temperature distribution in the cylinder block; dominant distortion source in fired engine conditions; primarily 2nd-order (oval)	abe-suzuki-toyota-bore-distortion-operation-1995; bird-gartside-federal-mogul-fired-bore-distortion-2002; maassen-koch-bore-distortion-optimization-2001; yang-li-yu-distortion-optimization-spectrum-2016; manav-erpolat-ozdemir-intrabore-bore-distortion-2010; kagnici-akalin-bore-distortion-oil-consumption-2014; iijima-sakurai-oil-consumption-bore-deformation-2009; ghasemi-bore-distortion-cae-methodology-2012
bolt-clamping distortion	bolt pretension distortion; assembly distortion; head bolt distortion	Bore distortion caused by cylinder head bolt clamping forces; predominantly 4th-order (cloverleaf) for 4-bolt engines, 6th-order for 6-bolt heavy-diesel engines	liang-wang-bore-deformation-static-fourier-2017; mirajkar-kanase-chhapkhane-bore-distortion-ansys-2013; soua-touratier-polac-gasket-cylinder-distortion-1999; yang-li-yu-distortion-optimization-spectrum-2016; maassen-koch-bore-distortion-optimization-2001; patwardhan-paranjpe-bore-distortion-arai-2015; ghasemi-bore-distortion-cae-methodology-2012; udagawa-ko-gasket-bore-distortion
MLS gasket	multi-layer steel gasket; metallic gasket; MLS; stopper MLS; active MLS	Multi-layer steel cylinder head gasket; lower bore distortion than composite gasket due to more uniform sealing bead pressure distribution; stopper MLS vs active MLS give different bore distortion outcomes	maassen-koch-bore-distortion-optimization-2001; soua-touratier-polac-gasket-cylinder-distortion-1999; patwardhan-paranjpe-bore-distortion-arai-2015; ghasemi-bore-distortion-cae-methodology-2012; udagawa-ko-gasket-bore-distortion; manav-erpolat-ozdemir-intrabore-bore-distortion-2010; mavrigian-bore-distortion-static-dynamic-2010
ABAQUS FEA	ABAQUS; Abaqus; nonlinear FEA	Commercial finite element analysis software used for bore distortion prediction; supports contact pairs, bolt pretension, gasket elements, and thermal loading	abe-suzuki-toyota-bore-distortion-operation-1995; soua-touratier-polac-gasket-cylinder-distortion-1999; manav-erpolat-ozdemir-intrabore-bore-distortion-2010; kagnici-akalin-bore-distortion-oil-consumption-2014; patwardhan-paranjpe-bore-distortion-arai-2015; barbieri-giacopini-ferrari-bore-distortion-simplified; gode-bore-distortion-fea-thesis
ANSYS FEA	ANSYS	Commercial finite element analysis software used for bore distortion and thermal analysis	mirajkar-kanase-chhapkhane-bore-distortion-ansys-2013; yang-li-yu-distortion-optimization-spectrum-2016; kazmierczak-piston-ring-liner-kiva3-fea-2004
Enchometer	Enchometer; PAT Enchometer; bore measurement instrument	Contact probe instrument for measuring bore roundness at multiple axial planes in assembled engine; reference to fixed centerline; resolution ~1 µm	patwardhan-paranjpe-bore-distortion-arai-2015; mavrigian-bore-distortion-static-dynamic-2010; ghasemi-bore-distortion-cae-methodology-2012; bird-gartside-federal-mogul-fired-bore-distortion-2002
PAT Incometer	Incometer; V-INCOMETER; in-cylinder bore measurement	Bore measurement instrument using 8 inductive sensors at 45° intervals; measures bore shape at multiple axial depths; used for validation of FEA predictions	mavrigian-bore-distortion-static-dynamic-2010; ghasemi-bore-distortion-cae-methodology-2012; liang-wang-bore-deformation-static-fourier-2017; chen-adimi-ford-bore-distortion-oo-postprocessing; selmani-delprete-bore-distortion-ringpack-blowby
hot honing	hot bore honing; thermally-compensated honing	Cylinder bore honing performed with the engine block heated to operating temperature to compensate for thermal bore distortion in service; produces correct bore shape at operating temperature	mccormick-hot-honing; mavrigian-bore-distortion-static-dynamic-2010; liu-winship-cambore-distortion-manufacturing
non-circular liner	conical liner; elliptical liner; pre-distorted liner	Cylinder liner manufactured with intentional non-circular and/or non-cylindrical cold-state geometry to compensate for in-service bore distortion, resulting in a more circular bore under fired conditions	alshwawra-conical-liner-bore-distortion-2020; alshwawra-noncircular-liner-roundness-2019; liu-winship-cambore-distortion-manufacturing
oil consumption	lube oil consumption; LOC; oil consumption measurement	Loss of lubricating oil past the piston ring pack into the combustion chamber; increased by poor ring conformability, bore distortion, and thin oil films; measured by sulfur tracer or radioactive tracer methods	iijima-sakurai-oil-consumption-bore-deformation-2009; yamada-oil-consumption-cylinder-deformation; kagnici-akalin-bore-distortion-oil-consumption-2014; selmani-delprete-bore-distortion-ringpack-blowby; hennessy-barber-surface-roughness-bore-distortion-blowby
blow-by	blowby; combustion gas blow-by	Leakage of combustion gases past the piston ring pack into the crankcase; caused by incomplete ring-bore sealing due to bore distortion, ring gaps, or ring non-conformability	patwardhan-paranjpe-bore-distortion-arai-2015; selmani-delprete-bore-distortion-ringpack-blowby; hennessy-barber-surface-roughness-bore-distortion-blowby; kagnici-akalin-bore-distortion-oil-consumption-2014; maassen-koch-bore-distortion-optimization-2001
piston secondary motion	lateral piston motion; piston slap; piston tilt	Translational and rotational motion of the piston perpendicular to the cylinder axis; driven by side thrust from connecting rod; causes impact noise (piston slap) and affects oil film distribution	bai-piston-secondary-motion-mit; mcclure-tian-piston-secondary-motion-dry-model-2008; tan-ripin-piston-secondary-motion; dlugos-novotny-piston-secondary-laser-2018; mansouri-wong-piston-design-parameters; dolatabadi-piston-slap-noise-tribodynamics; littlefair-tribol-lett-2014-piston-skirt-transient
