drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1ui7-5j-uE4PJd3M_XroTJZ-gW7PVhuYI	00 GENERAL MECHANICAL AND MATERIALS (root folder)	application/vnd.google-apps.folder	-	-	-
1_1JTLWFuV1zxkdRbVRkfFiR6omO6lpxr	MIT - A new introduction to Engineering Mechanics I– Franz-Josef Ulm (subfolder)	application/vnd.google-apps.folder	-	-	-
1pDMRfMmZAcwjFfXdujFODIMOaKFPgNw4	Aluminium Stress vs strain (subfolder)	application/vnd.google-apps.folder	-	-	-
1PWqE8CQ39vUyeJn3YPEiC3MW_XFE0ciy	On Thermal Expansion and Density of CGI and SGI Cast Irons - T Matsushita (2015).pdf	application/pdf	1764406	read	thermal-expansion-density-cgi-sgi-cast-irons
1TfZARUEXIUAmkSaThHyUEn2Ut4zPZkQQ	Y._Tamarin_Atlas_of_Stress-Strain_CurvesBookZZ.org.pdf	application/pdf	20431923	unreadable	atlas-stress-strain-curves-tamarin
1g91BH7A3-aZwKZBEey7xcF8H0p6HfhvR	Stress-StrainGraphs.pdf	application/pdf	6104536	read	stress-strain-diagram-plastic-range-brisbane
1ihf-D8JcfW0MVQwgEbnNCu5LxuJ_Qky7	Experimental Analysis of the Behaviour of Aluminium Alloy EN 6082AW T6 at High Temperature - (2017) N Toric.pdf	application/pdf	6195647	read	aluminium-en6082aw-t6-high-temperature-behaviour
1H1bMoOqQVDZqyLynsyDWfb6pYT2FdRIZ	Mechanics of materials - James M Gere.pdf	application/pdf	14578868	partial	mechanics-of-materials-gere
1HD_kJkTfqmWSpCm4OFp6-_CM_weydyJX	Advanced Mechanics of Materials 6ed - Boresi and Schmidt.pdf	application/pdf	14872388	partial	advanced-mechanics-of-materials-boresi-schmidt
1_xg7YCtqgNViWrP5MJbr4iqJAhGofbqM	Thick Walled Cylinders.pdf	application/pdf	319771	read	thick-walled-cylinders
1BO9ADY70yfUTuRGjwjD20E2iG2IujZnI	Michael Clifford, Kathy Simmons, Philip Shipway An introduction to mechanical engineering. _ Part 1.pdf	application/pdf	13916226	partial	introduction-mechanical-engineering-clifford-part1
10cFn4N8AHMTRmgZyHcj7i5qbwcdkXhP9	Warren Young, Richard Budynas - Roark's Formulas for Stress and Strain (2001, McGraw-Hill Professional).pdf	application/pdf	6311376	partial	roarks-formulas-stress-strain-7th-ed
1Yk5Ws7EAwegFGSxZ1QRdwiTASpDORHRr	Warren C. Young - Roark's Formulas for Stress and Strain (2001).pdf	application/pdf	6793539	skipped-duplicate	roarks-formulas-stress-strain-7th-ed
1yHlVPXdvS6BOAsNWborASjLVb5I-SvLU	Michael Clifford An Introduction to Mechanical Engineering Part 2.pdf	application/pdf	22617580	partial	introduction-mechanical-engineering-clifford-part2
1LsEC6Bcv3nTo4Lsh3jmZHVnj5MPIMdIZ	Elevated temperature properties of steel.pdf	application/pdf	1097597	read	elevated-temperature-properties-steel-vigilante
1Pn2HEaSPKhnNMjdxtv1H3002_RQKGQkw	Theory of Structural Dynamics.pdf	application/pdf	4835975	partial	theory-of-structural-dynamics-civ4180
1MmPm-mwrOo9KiMItkJ7XjFq-n52o5-L4	A non-linear stress strain relationship_William C Orthwein.pdf	application/pdf	761648	read	nonlinear-stress-strain-relation-orthwein
1lpDtFkgNGSA1xaupLC6CM_U6Oc3g1HWY	Nonlinear stress-strain equation_Roland L Huston_1965.pdf	application/pdf	479143	read	nonlinear-stress-strain-equations-huston
1E0whPZe9hhE8EYY7E2THVJxO2Nc0P6Gu	Course Notes Chapter 1 1.050.pdf	application/pdf	464042	read	mit-1050-engineering-mechanics-ulm
174frVkuzAkNFyZmnzLoqYCwl2qpVSYkP	Course Notes Chapter 2 1.050.pdf	application/pdf	842323	read	mit-1050-engineering-mechanics-ulm
1cBP4K3xU7eCk6ebEiFNIBQ-Z3E2vKE0T	Course Notes Chapter 3 1.050.pdf	application/pdf	1092534	read	mit-1050-engineering-mechanics-ulm
1JwwG57IbYFzpzHQlNCBr-roQ12nZGwJj	Course Notes Chapter 4 1.050.pdf	application/pdf	338201	read	mit-1050-engineering-mechanics-ulm
1oNOgsSFWqw7cDH76hFJgh8mDi-nOwXQr	Course Notes Chapter 5 1.050.pdf	application/pdf	780450	read	mit-1050-engineering-mechanics-ulm
1Y6mmL5J2rOtlEW3dOLyCiR2M2K5Y287t	Course Notes Chapter 6 1.050.pdf	application/pdf	480831	read	mit-1050-engineering-mechanics-ulm
15ykY5JW1-W8ulsZUCwQqmSgzonhrfI1k	Course Notes Chapter 7 1.050.pdf	application/pdf	439694	read	mit-1050-engineering-mechanics-ulm
1vbmPIMxmf_SbRAQX1nB7G0kGy75_0kr2	Experimental Analysis of the Behaviour of Aluminium Alloy EN 6082AW T6 at High Temperature.xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	11149	read	aluminium-en6082-stress-strain-data
1Nv6ORbtKwj4TZE6p8nFKHkwbzIOddjE4	Experimental Analysis of the Behaviour of Aluminium Alloy EN 6082AW T6 at High Temperature - wgrid.png	image/png	410166	unreadable	aluminium-en6082-stress-strain-data
1Vz3-wKM4pnloqb6GJ_8HEA84a8YJUQ52	Experimental Analysis of the Behaviour of Aluminium Alloy EN 6082AW T6 at High Temperature.png	image/png	85121	unreadable	aluminium-en6082-stress-strain-data
