concept_term	aliases_seen	one_line_definition	doc_slug
grain scattering attenuation	ultrasonic grain noise; polycrystal scattering	Attenuation of ultrasonic waves caused by elastic mismatch at grain boundaries in polycrystalline metals	mason-mcskimin-1947
grain scattering attenuation	ultrasonic grain noise; polycrystal scattering	Attenuation of ultrasonic waves caused by elastic mismatch at grain boundaries in polycrystalline metals	stanke-kino-unified-theory-1984
grain scattering attenuation	ultrasonic grain noise; polycrystal scattering	Attenuation of ultrasonic waves caused by elastic mismatch at grain boundaries in polycrystalline metals	papadakis-scattering-metals-1965
grain scattering attenuation	ultrasonic grain noise; polycrystal scattering	Attenuation of ultrasonic waves caused by elastic mismatch at grain boundaries in polycrystalline metals	kube-turner-attenuation-any-symmetry-2015
grain scattering attenuation	ultrasonic grain noise; polycrystal scattering	Attenuation of ultrasonic waves caused by elastic mismatch at grain boundaries in polycrystalline metals	roderick-truell-pulse-technique-1952
grain scattering attenuation	ultrasonic grain noise; polycrystal scattering	Attenuation of ultrasonic waves caused by elastic mismatch at grain boundaries in polycrystalline metals	wan-316L-grain-size-2017
Rayleigh scattering regime	Rayleigh law; f^4 law	Scattering regime where grain size D << wavelength λ; attenuation α ∝ f⁴D³	mason-mcskimin-1947
Rayleigh scattering regime	Rayleigh law; f^4 law	Scattering regime where grain size D << wavelength λ; attenuation α ∝ f⁴D³	stanke-kino-unified-theory-1984
Rayleigh scattering regime	Rayleigh law; f^4 law	Scattering regime where grain size D << wavelength λ; attenuation α ∝ f⁴D³	anmin-yin-lus-grain-if-steel-2014
stochastic scattering regime	geometric scattering; f^2 regime	Scattering regime where grain size D ~ λ; attenuation α ∝ f²D	stanke-kino-unified-theory-1984
stochastic scattering regime	geometric scattering; f^2 regime	Scattering regime where grain size D ~ λ; attenuation α ∝ f²D	roderick-truell-pulse-technique-1952
Stanke-Kino unified theory	unified scattering theory; Dyson equation	Self-consistent perturbation theory for elastic wave propagation in polycrystals valid across all frequency regimes	stanke-kino-unified-theory-1984
Stanke-Kino unified theory	unified scattering theory; Dyson equation	Self-consistent perturbation theory for elastic wave propagation in polycrystals valid across all frequency regimes	sundin-artymowicz-lus-grain-2002
Stanke-Kino unified theory	unified scattering theory; Dyson equation	Self-consistent perturbation theory for elastic wave propagation in polycrystals valid across all frequency regimes	lindh-ulmgren-lus-metallurgical-2002
Dyson equation	mean field equation	Integral equation for the mean wave Green's function in a random medium, used for self-consistent attenuation calculations	stanke-kino-unified-theory-1984
Dyson equation	mean field equation	Integral equation for the mean wave Green's function in a random medium, used for self-consistent attenuation calculations	turner-textured-polycrystals-1999
elastic anisotropy factor W	anisotropy parameter; scattering strength	Material parameter W = (elastic constants combination) determining the magnitude of grain scattering attenuation	mason-mcskimin-1947
elastic anisotropy factor W	anisotropy parameter; scattering strength	Material parameter W = (elastic constants combination) determining the magnitude of grain scattering attenuation	papadakis-scattering-metals-1965
grain size measurement by ultrasonics	ultrasonic grain sizing; NDE grain size	Non-destructive technique to determine mean grain size from measured ultrasonic attenuation vs frequency	papadakis-grain-size-distribution-1964
grain size measurement by ultrasonics	ultrasonic grain sizing; NDE grain size	Non-destructive technique to determine mean grain size from measured ultrasonic attenuation vs frequency	anmin-yin-lus-grain-if-steel-2014
grain size measurement by ultrasonics	ultrasonic grain sizing; NDE grain size	Non-destructive technique to determine mean grain size from measured ultrasonic attenuation vs frequency	sundin-artymowicz-lus-grain-2002
grain size measurement by ultrasonics	ultrasonic grain sizing; NDE grain size	Non-destructive technique to determine mean grain size from measured ultrasonic attenuation vs frequency	wan-316L-grain-size-2017
laser ultrasonics (LUS)	laser ultrasound; opto-acoustic	Non-contact ultrasonic generation and detection using pulsed laser and interferometric receiver	anmin-yin-lus-grain-if-steel-2014
laser ultrasonics (LUS)	laser ultrasound; opto-acoustic	Non-contact ultrasonic generation and detection using pulsed laser and interferometric receiver	lindh-ulmgren-lus-metallurgical-2002
laser ultrasonics (LUS)	laser ultrasound; opto-acoustic	Non-contact ultrasonic generation and detection using pulsed laser and interferometric receiver	sundin-artymowicz-lus-grain-2002
Kramers-Kronig relations	causality relations; dispersion relations	Integral relations linking ultrasonic attenuation and phase velocity, derived from causality and linearity	odonnell-jaynes-miller-1978
Kramers-Kronig relations	causality relations; dispersion relations	Integral relations linking ultrasonic attenuation and phase velocity, derived from causality and linearity	odonnell-jaynes-miller-1981
Kramers-Kronig relations	causality relations; dispersion relations	Integral relations linking ultrasonic attenuation and phase velocity, derived from causality and linearity	peters-petit-broadband-2003
velocity dispersion	phase velocity dispersion; frequency-dependent velocity	Variation of ultrasonic phase velocity with frequency, caused by scattering, absorption, or structural effects	ting-sachse-dispersion-1978
