concept_term	aliases_seen	one_line_definition	doc_slug
piezoelectric charge constant (d)	d33, d31, d15, dh	Ratio of induced charge density to applied stress (or strain per applied field), fundamental parameter for actuator/sensor sensitivity	del-piezo-material-specification-sheet
coupling coefficient	Kp, K33, Kt, K31, K15	Square root of the fraction of mechanical energy converted to electrical energy (or vice versa) in a piezoelectric element	del-piezo-material-specification-sheet
mechanical quality factor	Qm, Qpm, Qtm	Ratio of energy stored to energy dissipated per cycle in a resonant piezoelectric element; high Q = low loss	del-piezo-material-specification-sheet
Curie temperature	Tc	Temperature above which a piezoelectric ceramic loses its piezoelectric properties due to phase transition	del-piezo-material-specification-sheet
acoustic impedance	Z, Za	Product of material density and acoustic wave velocity (MRayl); governs reflection/transmission at interfaces	del-piezo-material-specification-sheet
hard PZT	hard ceramic, high-Q PZT	PZT formulation with lower piezoelectric activity but higher mechanical Q and lower dielectric loss; suited for resonant applications	del-piezo-material-specification-sheet
soft PZT	soft ceramic, low-Q PZT	PZT formulation with higher piezoelectric activity and dielectric constant but higher losses; suited for high-sensitivity applications	del-piezo-material-specification-sheet
dielectric constant	relative permittivity, ε33T	Ratio of material permittivity to vacuum permittivity, indicating charge storage capacity	del-piezo-material-specification-sheet
PIC material grades	PIC144, PIC155, PIC184, PIC255	PI Ceramic's proprietary PZT material grades used as reference materials in the transducer community	pi-piezoelectric-ceramic-products-catalog
longitudinal wave velocity	Vl, compression wave velocity	Speed of acoustic pressure waves propagating parallel to particle displacement direction	intermediate-material-acoustic-properties
shear wave velocity	Vs, transverse wave velocity	Speed of acoustic waves where particle displacement is perpendicular to propagation direction	intermediate-material-acoustic-properties
elastic stiffness constant	c11, c44, cij	Tensor component relating stress to strain in an anisotropic material; c11 = longitudinal, c44 = shear	intermediate-material-acoustic-properties
Poisson's ratio	ν, sigma	Ratio of lateral strain to axial strain under uniaxial stress	intermediate-material-acoustic-properties
ultrasonic attenuation	longitudinal attenuation, shear attenuation	Energy loss per unit distance as an acoustic wave propagates, measured in dB/m	intermediate-material-acoustic-properties
glass transition temperature	Tg	Temperature range over which a cured epoxy transitions from glassy/hard state to rubbery/soft state	master-bond-epoxies-glass-transition-temperature
coefficient of thermal expansion	CTE, α	Rate of dimensional change per degree Celsius; increases 3–5× above Tg for epoxies	master-bond-epoxies-glass-transition-temperature
Differential Scanning Calorimetry	DSC	Thermal analysis method detecting Tg from changes in heat capacity as a function of temperature	master-bond-epoxies-glass-transition-temperature
Thermo Mechanical Analysis	TMA	Method measuring dimensional change vs. temperature to determine Tg and CTE; preferred for filled systems	master-bond-epoxies-glass-transition-temperature
Dynamic Mechanical Analysis	DMA	Viscoelastic characterization method measuring storage/loss modulus vs. temperature; most accurate for Tg	master-bond-epoxies-glass-transition-temperature
B-staged epoxy	B-staging, partially cured adhesive	Epoxy partially cured (arrested before crosslinking) to solid form for storage and later full cure at application site	master-bond-epoxies-glass-transition-temperature
PVDF	polyvinylidene fluoride, piezo film	Semi-crystalline polymer with piezoelectric and pyroelectric properties, used as flexible transducer films	pvdf-student-pack-tds
uniaxial poling	PVDF poling	Process of aligning dipole domains in PVDF by applying a strong electric field above Curie temperature	pvdf-student-pack-tds
epoxy adhesive film	B-staged film, preform adhesive	Solid-form epoxy adhesive cut to shape and partially cured for uniform, squeeze-out-free bonding	master-bond-epoxy-film-preform-electronics
dynamic runout	TIR, FIM, total indicator reading	Total radial displacement of a rotating shaft as measured by a dial indicator; harmful to rotary seals	kalsi-seals-shaft-deflection-runout
extrusion gap	extrusion clearance	Radial clearance between rotating shaft and seal housing; large clearance allows seal extrusion under pressure	kalsi-seals-shaft-deflection-runout
compression set	O-ring compression set, seal compression set	Permanent deformation of an elastomeric seal due to sustained compression; reduces sealing force over time	kalsi-seals-shaft-deflection-runout
