concept_term	aliases_seen	one_line_definition	doc_slug
Machining	material removal processes	Manufacturing processes that remove material from a workpiece using cutting tools to achieve desired shape and surface finish	asm-handbook-vol16-machining
Cutting tool materials	HSS; carbide; CBN; ceramic	Materials used to make cutting tools, chosen for hardness and wear resistance at cutting temperatures (high-speed steel, cemented carbide, ceramics, cubic boron nitride, diamond)	asm-handbook-vol16-machining
Machinability	machinability rating; machinability index	A measure of how easily a material can be cut, typically referenced to a standard material (e.g., AISI 1112 steel = 100%)	asm-handbook-vol16-machining
Surface integrity	subsurface damage; residual stress from machining	The totality of surface and subsurface properties (microstructure, hardness, residual stress) induced by a machining process, distinct from geometric surface roughness	asm-handbook-vol16-machining
Taylor's tool life equation	V·T^n = C	Empirical equation relating cutting speed V and tool life T, with material constants n and C, used to optimise productivity vs. tool cost	asm-handbook-vol16-machining
Non-traditional machining	EDM; ECM; laser machining; ultrasonic machining	Material removal processes that do not rely on mechanical cutting action, including electrical discharge, electrochemical, laser, and ultrasonic methods	asm-handbook-vol16-machining
Embedded control system	embedded controller	A control system integrated into the device it controls, with dedicated hardware and software optimised for a specific real-time control function	advanced-industrial-control-technology-zhang
Real-time control system	RTOS; hard real-time	A control system that must complete specified computations within strict timing constraints, failing if deadlines are missed	advanced-industrial-control-technology-zhang
Distributed control system	DCS	A control architecture where control functions are distributed across multiple networked nodes rather than centralised in a single controller	advanced-industrial-control-technology-zhang
PLC	Programmable Logic Controller	An industrial digital computer adapted for control of manufacturing processes, with rugged hardware and scan-cycle programming model	advanced-industrial-control-technology-zhang
PID controller	proportional-integral-derivative controller	A feedback control algorithm that computes a control output as a weighted sum of the error, its integral, and its derivative	advanced-industrial-control-technology-zhang
Fieldbus	Foundation Fieldbus; Profibus; DeviceNet; CAN	A class of industrial communication networks connecting field devices (sensors, actuators) to controllers using digital serial communication	advanced-industrial-control-technology-zhang
SCADA	Supervisory Control and Data Acquisition	A supervisory-level control system architecture for monitoring and controlling distributed industrial processes over wide areas	advanced-industrial-control-technology-zhang
Human-machine interface	HMI; operator interface	Hardware and software that allows human operators to monitor and interact with industrial control systems	advanced-industrial-control-technology-zhang
FPGA	Field-Programmable Gate Array	A reconfigurable integrated circuit that can implement custom digital logic; widely used in industrial control for high-speed parallel processing	advanced-industrial-control-technology-zhang
Servo motor	servomotor; servo drive	A motor with integrated feedback control for precise position, velocity, and torque control; preferred above ~1000 rpm and 200 W	advanced-industrial-control-technology-zhang
Stepper motor	step motor	A brushless DC motor that divides a full rotation into discrete steps; preferred for low-speed, lower-power applications not requiring closed-loop feedback	advanced-industrial-control-technology-zhang
Longitudinal static stability	pitch stability	The tendency of an aircraft to return to its trimmed angle of attack after a pitch perturbation; requires ∂Mcg/∂α < 0	aircraft-stability-and-control-carley
