concept	definition	key_sources
acoustic impedance	Z = ρc (Pa·s/m = Rayl); specific acoustic impedance of a medium; mismatch drives reflections	desilets-1978; fry-dunn-1962; krimholtz-1970
acoustic impedance matching layer (ML)	Layer inserted between transducer and medium to reduce mismatch; quarter-wave (λ/4) thickness gives maximum transmission at center frequency	desilets-1978; fry-dunn-1962; tone-1984; yano-1987
air-coupled ultrasound	Ultrasonic measurements without liquid couplant; main challenge is PZT-to-air impedance mismatch (~33 MRayl vs 0.000429 MRayl → 90 dB loss)	chimenti-2014; reilly-1991; gomez-2004
Biot theory	Theory of elastic wave propagation in fluid-saturated porous media; predicts two P-waves and one S-wave; transition frequency ωc = ηφ/(ρ₀κ); correction by Kurzeja-Steeb 2012	biot-1956-low; biot-1956-high; kurzeja-steeb-2012
Chebyshev matching criterion	ML impedance selection: Z_opt = √(Z_PZT × Z_air) for single layer; geometric mean; gives widest bandwidth but lowest peak	desilets-1978; gudra-2002; gudra-banasiak-2018
Champoux-Allard model	Dynamic tortuosity α(ω) and bulk modulus K(ω) for rigid-frame porous media; extends Biot to high-frequency rigid limit; two parameters (tortuosity α∞, viscous length Λ)	champoux-allard-1991
cMUT (capacitive micromachined ultrasonic transducer)	Capacitive thin-membrane transducer; requires DC bias; high sensitivity; CMOS-compatible	schindel-1995; jung-2017
coupling coefficient k²	Dimensionless measure of electromechanical conversion efficiency; k²_t (thickness mode); k²_31 (lateral mode); k²_eff from impedance	krimholtz-1970; jung-2017; sherrit-series
corrugated PVDF transducer	PVDF film corrugated to amplify flexural motion; resonance f₀ = (1/2πR)√(Y/ρp); used for air-coupled ranging at 200 kHz	toda-dahl-2007
DeSilets matching criterion	Binomial ML impedance: Z₁ = (Z_PZT² × Z_air)^(1/3); gives highest peak transmission at f₀ but narrowest band	desilets-1978; gudra-2002
electrodynamic flexural transducer (EDFT)	Voice-coil driven metal cap transducer; no PZT; suited for <40 kHz air-coupled applications	eriksson-2016
flexural (bending mode) transducer	Metal cap with PZT disc; resonance set by cap geometry: f = (λ/a)²√(D/ρh); d31 coupling; no matching layer needed	eriksson-2016; toda-dahl-2007
