drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
13fUczddUUuc-wAtyZzDyKr2e9nQkyCGq	web notes on Probabiity.txt	text/plain	64	skipped-duplicate	-
15Dk0ZgFKsTdsBTh2aiIFbSGV1vdV6oiG	Lez_12_Noises.pdf	application/pdf	4900000	read	noise-and-snr-lecture
1km_klNsvMkYhqPW_bguJGqgzqsoQAFGr	2003 - Automatic P-Wave Arrival Detection and Picking with Multiscale Wavelet Analysis...pdf	application/pdf	237000	read	p-wave-arrival-multiscale-wavelet
1y5bb0maHlH8bxQhPlSUOPk51hXO-iWEV	1996 - Automatic detection of defects in industrial ultrasound images using a neural network...pdf	application/pdf	582000	read	tofd-neural-network-defect
1BSNH6x1Tg6yvEnBBpz_sSKsIHHdMs8lD	Determination of the resonance spectrum of elastic bodies via the use of short pulses and Fourier transform theory...pdf	application/pdf	386000	read	resonance-spectrum-fft-elastic-bodies
1XIrv18OvQQ-CEN1wnrOu2-hj639zaxeB	A Multifrequency AM-Based Ultrasonic System for Accuracy Distance Measurement...pdf	application/pdf	651000	read	multifrequency-am-ultrasonic-ranging
1X8515P2whKysBPiu9gV9CUtw_XxKMYiD	Cross-Correlation by Single-bit Signal Processing for Ultrasonic Distance Measurement...pdf	application/pdf	867000	read	single-bit-cross-correlation-ultrasonic
1OFWTfgGGJufWYaLYrMZBZy0DN3LdnL_2	WAVELETS FOR KIDS.pdf	application/pdf	2900000	read	wavelets-for-kids
1iiH4xDeAsGR8-6ZzOuPQmq7yuhw7A0Y1	Digital Signal Processing Methods for Ultrasonic Echoes - (2016) KM Sinding CS Drapaca BR Tittmann.pdf	application/pdf	1300000	read	tv-tikhonov-regularization-ultrasonic
1XtQaoT-wWNu0X7ARiKh6QOYHm_XXzq6e	Scale transform signal processing for optimal ultrasonic temperature compensation - (2012) JB Harley.pdf	application/pdf	962000	partial	scale-transform-temperature-compensation
13m2eUM5DDacPuikCAmbdDWXdIAu-v8zA	Digital Time-of-Flight Measurement for Ultrasonic Sensors - (1992) D Marioli.pdf	application/pdf	454000	read	digital-tof-ultrasonic-marioli
17bBgfFpFm8-mHnJkc-hGZ7TpQKVohKOz	Analysis of the Interpolation Techniques for TOF Estimation - (2008) Svilainis, Dumbrava.pdf	application/pdf	300000	read	tof-interpolation-techniques-svilainis
1nV65q8F69nyqFjeMjwAzj9yJZitXJICJ	The TOF Estimation Accuracy Versus Digitization Parameters - Svilainis, Dumbrava.pdf	application/pdf	388000	read	tof-accuracy-digitization-svilainis
1FY7h3IPoo5DfAWn5i0UA1ZKjcM7DkCy8	Analysis of the Interpolation Techniques for TOF Estimation - Svilainis, Dumbrava.pdf	application/pdf	303000	skipped-duplicate	-
1oyrd8Dlcwjym_yvLhIbyYJ0So8GkC99N	Research on improving time-domain resolution of pulse-echo methods by compensation filtering - (2010) Hou Z.pdf	application/pdf	172000	read	compensation-filtering-pulse-echo
