drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1veOjo7L3WwK_eQILSdhFVzIIVKKVB4Vg	Takahashi 1987 Part 2 TOE constants of carbon steels	application/pdf	662388	read	takahashi-motegi-1987-part2
1xYxUUiUewlXQBGaFZo4psjcoTIiecofV	Takahashi & Motegi 1987 Part 2 (duplicate)	application/pdf	639788	skipped-duplicate	-
1iyw8O9q1nysQ93991wc9yT7c1La3O7C-	Rathod 2010 PVDF thin film Lamb waves	application/pdf	891423	read	rathod-2010-pvdf-lamb
1yc0lGkPa4Mrh5N8ryvjnrPXBgl5SUnqd	Xu Ding 2014 bolt EMAT mode-converted ultrasound	application/pdf	1295956	read	xu-ding-2014-bolt-emat
1QB3WagOdBmGXIoNCK8PaW99G4AvTzJMv	Kim 2008 mode-converted ultrasound bolt stress	application/pdf	872199	read	kim-2008-mode-converted-bolt
1GlkpaSfqCXZjgP6BtaH9e44l7lIHb2G3	Si-Chaib 2002 bending stress acoustoelasticity	application/pdf	237380	read	si-chaib-2002-bending
1mcNkWtj_t3zx2iw5PDEdeS_ItLSV8cLN	Ivanova 2017 steel microstructure Rayleigh wave acoustoelasticity	application/pdf	855701	read	ivanova-2017-steel-microstructure
13BRgDczkKywLswJ7SUe5Hm8TtdSdwRgh	Kube & Turner 2016 stress-dependent scattering polycrystals	application/pdf	1793485	read	kube-turner-2016-scattering
1CGItupF0PCEtGDkpkSGEYtwr8fqPBfxq	Hiro 1981 Rayleigh surface wave acoustoelastic effect	application/pdf	855701	read	hiro-1981-rayleigh-surface
1Wrkwp4GVlyDLnSya9MxlYkwrrwXSxqn8	Johnson residual stress applicability aluminium alloys	application/pdf	396896	read	johnson-1981-residual-stress
1UeB4t2fOmh3Sl9jIenKFqx-Ij4VCoawQ	Kino 1979 acoustoelastic imaging stress fields	application/pdf	662499	read	kino-1979-acoustoelastic-imaging
1mdH-iw-J7QO1gwRsKAxrIJbOiEL_jt-C	Johnson 1981 residual stress (duplicate)	application/pdf	407809	skipped-duplicate	-
1t-EPOowkkfcthM1RwVVyK6ZdgeWwA-f1	Castellano 2017 EURODYN Hughes-Kelly vs Man-Lu comparison	application/pdf	754126	read	castellano-2017-hughes-kelly-man-lu
1_zwv7MR-P6jo0l-0R0HbkR0pIwjYqddg	Castellano 2017 (duplicate)	application/pdf	762578	skipped-duplicate	-
1SBY-B41CwuTyqIdlr59Ogf23lIEkPwe1	Serdobolskaya 2002 torsional hysteresis acoustic velocity	application/pdf	228701	read	serdobolskaya-2002-torsional-hysteresis
1L7E5-WqHrJgJxe3ktt5EFFD-uc25dkzs	Hughes & Kelly 1953 second-order elastic deformation	application/pdf	551030	read	hughes-kelly-1953
1aKO54TeQsqEc-EBKm-9ugualhqE-OyTl	Erofeev & Romashov 2004 cyclic loading dislocation acoustic model	application/pdf	164699	read	erofeev-romashov-2004-dislocation-cyclic
181sLIH0RfLxr-rmsSTw8P4XJsH3HQurK	Zarembo & Krasilnikov 1971 nonlinear elastic waves review	application/pdf	2314355	read	zarembo-krasilnikov-1971-nonlinear
1Jn14fZPux3fqSsCCnR1YnE0fqbXwHUoo	RT Smith 1963 stress-induced anisotropy acousto-elastic effect review	application/pdf	1671802	read	smith-1963-acoustoelastic-review
1VG2dOI8v9oswZePut7rieKgUvuWE0lU4	McSkimin & Andreatch 1967 ultrasonic velocity measurement pulse superposition	application/pdf	573263	read	mcskimin-andreatch-1967
1gR5HdQb5OrqKswGTwaodyrTlM_oUJKi1	Chen Mills Dwyer-Joyce 2015 rolling bearing load monitoring ToF	application/pdf	1109129	partial	chen-mills-2015-bearing-tof
1opoGilI__y49kW0FT02HA6NM7F2Ep5ol	Takahashi & Motegi 1987 Part 1 Eulerian viewpoint	application/pdf	629861	read	takahashi-motegi-1987-part1
1T-T64AS92YYOCgRZNNAEZbvfpHSMsPiQ	Clark & Mignogna 1983 comparison two theories acoustoelasticity	application/pdf	1024734	read	clark-mignogna-1983-two-theories
10U-ZeJs59ovsBJEoXpds7t4ZDyccNidH	Degtyar & Rokhlin 1997 stress effect ultrasonic wave solid-solid interface	application/pdf	857263	read	degtyar-rokhlin-1997-interface-stress
