concept_term	aliases_seen	one_line_definition	doc_slug
555 timer IC	NE555	8-pin IC implementing three timer modes (astable, monostable, bistable) via internal comparators and flip-flop	555-timer
astable mode	free-running mode	555 operating mode where output oscillates continuously; frequency set by R1, R2, C	555-timer
monostable mode	one-shot mode	555 mode producing a single output pulse of duration 1.1·R·C per trigger event	555-timer
bistable mode	SR latch mode	555 mode where output latches high or low based on set/reset inputs; used for debouncing	555-timer
transmission line	T-line	Distributed electrical structure for guiding electromagnetic waves when line length is a significant fraction of wavelength	module1-introduction-to-transmission-lines
Telegrapher's equations	transmission line equations	Coupled PDEs ∂V/∂z = −(R+jωL)I and ∂I/∂z = −(G+jωC)V describing voltage and current on a distributed line	module1-introduction-to-transmission-lines
characteristic impedance	Z0	Ratio of forward voltage to forward current wave on a transmission line; Z0 = √(L/C) for lossless lines	module1-introduction-to-transmission-lines
reflection coefficient	Γ	Ratio of reflected to incident wave amplitude at a discontinuity; Γ = (ZL−Z0)/(ZL+Z0)	module1-introduction-to-transmission-lines
bounce diagram	lattice diagram	Time-space diagram tracking forward and reflected wave amplitudes at each reflection event	module1-introduction-to-transmission-lines
propagation constant	γ	Complex wavenumber γ = α + jβ = √[(R+jωL)(G+jωC)]; α = attenuation, β = phase constant	module2-transmission-lines-frequency-domain
VSWR	voltage standing wave ratio	Ratio of voltage maximum to minimum on a standing wave; VSWR = (1+|Γ|)/(1−|Γ|)	module2-transmission-lines-frequency-domain
input impedance	Zin	Impedance seen looking into a transmission line of length l terminated in ZL; Zin = Z0·(ZL+jZ0tanβl)/(Z0+jZLtanβl)	module2-transmission-lines-frequency-domain
quarter-wave transformer	λ/4 section, impedance inverter	Transmission line section of length λ/4 that transforms ZL to Z0²/ZL; acts as impedance inverter	module2-transmission-lines-frequency-domain
S-parameters	scattering parameters	Network description based on traveling wave amplitudes; S_ij = b_i/a_j with all other ports matched	module3-scattering-parameters
signal flow graph	SFG	Graphical representation of signal paths in a network used with Mason's Rule to compute gain	module3-scattering-parameters
Mason's Rule	non-touching loop rule	Formula for computing transfer function of a signal flow graph as ratio of forward path and loop gain products	module3-scattering-parameters
transducer gain	GT	Ratio of power delivered to load to available source power; GT = |S21|²(1−|ΓS|²)(1−|ΓL|²)/|denominator|²	module3-scattering-parameters
Smith Chart	reflection coefficient chart	Graphical tool mapping complex impedance to reflection coefficient plane; enables transmission line and matching calculations	module4-smith-chart
resistance circle	constant-R circle	Circle on Smith Chart representing all impedances with a given normalized resistance r; center (r/(r+1), 0)	module4-smith-chart
admittance chart	Y-Smith Chart	Smith Chart rotated 180° to work in admittance; used for adding shunt elements	module4-smith-chart
single-stub matching	stub tuner	Impedance matching technique using a shunt transmission line stub to cancel susceptance at a chosen point on SWR circle	module4-smith-chart
Q factor	quality factor	Ratio of energy stored to energy dissipated per radian; Q = ω0·(energy stored)/power_dissipated	module5-review-of-resonance
series RLC resonance		Resonant circuit with R, L, C in series; ω0 = 1/√(LC); 3dB bandwidth Δω = ω0/Q	module5-review-of-resonance
parallel RLC resonance		Resonant circuit with R, L, C in parallel; same ω0; Q = Rp/(ω0L)	module5-review-of-resonance
crystal resonator	quartz resonator	Piezoelectric quartz element with Q ~ 10⁵–10⁶ and ppm-level frequency stability; modeled as series LCR branch with parallel Cp	module5-review-of-resonance
MEMS resonator		Micromachined mechanical resonator with Q > 10⁴; potential for on-chip high-Q frequency references	module5-review-of-resonance
L-match network		Two-element reactive network transforming impedance by ratio n; Q = √(n−1)	module6-matching-networks
insertion loss	IL	Power lost in a matching network due to finite component Q; IL = 1/(1 + Q_L/Q_c)	module6-matching-networks
Π-match network	pi-match	Three-element matching network (shunt-series-shunt) with extra degree of freedom for Q control	module6-matching-networks
T-match network		Three-element matching network (series-shunt-series) with extra degree of freedom for Q control	module6-matching-networks
Y-parameters	admittance parameters	Two-port description I = Y·V; suited to shunt-shunt feedback topology analysis	module7-two-port-circuits
Z-parameters	impedance parameters	Two-port description V = Z·I; suited to series-series feedback topology analysis	module7-two-port-circuits
ABCD parameters	chain matrix, transmission matrix	Two-port description cascaded by matrix multiplication; useful for multi-section networks and T-lines	module7-two-port-circuits
Rollett stability factor	K-factor	K = (1−|S11|²−|S22|²+|Δ|²)/(2|S12S21|); K > 1 and |Δ| < 1 → unconditionally stable two-port	module7-two-port-circuits
stability circles		Circles on Smith Chart bounding source/load impedance regions that cause oscillation in a potentially unstable device	module7-two-port-circuits
operating power gain	Gp	Ratio of power delivered to load to power input to two-port; Gp = P_L/P_in; independent of source impedance	module8-two-ports-power-gain
available power gain	Ga	Ratio of available output power to available source power; Ga = P_avn/P_avs; independent of load impedance	module8-two-ports-power-gain
bi-conjugate match		Simultaneous conjugate matching of input and output ports to maximize transducer gain GT	module8-two-ports-power-gain
maximum available gain	MAG	Maximum GT achievable when K > 1; MAG = |S21/S12|·(K−√(K²−1))	module8-two-ports-power-gain
maximum stable gain	MSG	|S21/S12|; gain limit when K = 1 (boundary of conditional stability)	module8-two-ports-power-gain
noise figure	NF, noise factor F	F = SNR_in/SNR_out; NF = 10·log(F) dB; measures degradation of SNR through a device	module9-noise-in-communication-systems
Friis cascade formula		F_total = F1 + (F2−1)/G1 + (F3−1)/(G1·G2) + ...; first-stage NF dominates cascade noise figure	module9-noise-in-communication-systems
minimum detectable signal	MDS, sensitivity	MDS = −174 dBm + NF + 10log(B) + SNR_min; minimum signal power detectable above noise	module9-noise-in-communication-systems
thermal noise	Johnson-Nyquist noise	Noise in resistors due to thermal agitation of carriers; vn² = 4kTRΔf; white noise	module10-physical-origin-electrical-noise
shot noise		Noise due to discrete carrier crossings of a potential barrier; id² = 2qIDC·Δf; proportional to DC current	module10-physical-origin-electrical-noise
flicker noise	1/f noise	Low-frequency noise with PSD ∝ 1/f; dominant below corner frequency; originates from trap states	module10-physical-origin-electrical-noise
FET channel thermal noise		id² = 4kTγgds0·Δf in saturation; γ = 2/3 for long-channel; increases for short-channel devices	module10-physical-origin-electrical-noise
noise resistance	Rn	Equivalent resistance characterizing magnitude of input-referred voltage noise of a two-port; Rn ∝ γ/gm for FETs	module11-two-port-noise-analysis
minimum noise figure	Fmin	Lowest achievable noise figure of a two-port; Fmin = 1 + 2√(Rn·Gu); achieved at Yopt	module11-two-port-noise-analysis
optimal source admittance	Yopt	Source admittance that minimizes noise figure to Fmin; Yopt = Gopt + jBopt	module11-two-port-noise-analysis
noise circles		Circles on Smith Chart of constant noise figure; centered near Yopt; used for noise-gain trade-off	module11-two-port-noise-analysis
inductive source degeneration		Adding series inductor Ls at FET source; adds real input impedance ωT·Ls without resistive noise → enables noise-lossless matching	module12-mosfet-lna-design
cascode LNA		Common-source + common-gate stack; reduces Miller effect, improves reverse isolation S12, near-zero cascode noise contribution	module12-mosfet-lna-design
transit frequency	fT	Frequency at which current gain = 1; fT = gm/(2π·Cgs); key figure of merit for RF transistors	module12-mosfet-lna-design
power series nonlinearity	Volterra series (1st order)	Output approximated as so = a1·si + a2·si² + a3·si³; coefficients from Taylor expansion of device I-V	module13-distortion-analysis
