concept_term	aliases_seen	one_line_definition	doc_slug
STAMINA	STAnding wave Measurements of INterfaces and lAyers	Continuous-wave ultrasonic technique that drives a frequency sweep into a component and measures the resonant standing wave amplitude/frequency to characterise surface layers or interfaces	stamina-white-paper-v7
STAMINA	Multiple Standing Wave Method	Continuous-wave ultrasonic technique that drives a frequency sweep into a component and measures the resonant standing wave amplitude/frequency to characterise surface layers or interfaces	stamina-vs-pe-comparison
STAMINA	STAMINA amplitude method	Continuous-wave ultrasonic technique that drives a frequency sweep into a component and measures the resonant standing wave amplitude/frequency to characterise surface layers or interfaces	stamina-report-fornasieri-husson-geroudet
Pulse-Echo method	PE method	Ultrasonic thickness measurement technique that sends a short pulse and measures time-of-flight of the returning echo	stamina-vs-pe-comparison
Pulse-Echo method	PE method	Ultrasonic thickness measurement technique that sends a short pulse and measures time-of-flight of the returning echo	shah-meng-cylinder-bore-distortion
Contact Acoustic Nonlinearity	CAN	Phenomenon where high-power ultrasound at an imperfect contact interface generates higher-order frequency harmonics due to stick-slip or clapping of asperities	li-phd-friction-nonlinear-ultrasound
Contact Acoustic Nonlinearity	CAN	Phenomenon where high-power ultrasound at an imperfect contact interface generates higher-order frequency harmonics due to stick-slip or clapping of asperities	cr-xli-nonlinear-ultrasound-slides
Shear wave reflection viscometry	Shear acoustic impedance viscometry	Method to measure liquid viscosity from the reflection coefficient of shear ultrasonic waves at a solid-liquid interface	schirru-phd-ultrasonic-viscosity-journal-bearing
Shear wave reflection viscometry	Shear acoustic impedance viscometry	Method to measure liquid viscosity from the reflection coefficient of shear ultrasonic waves at a solid-liquid interface	stamina-report-fornasieri-husson-geroudet
Stick-slip motion	Stick-slip friction	Intermittent sliding behaviour at a contact where surfaces alternately adhere (stick) and slide (slip) under applied shear	li-phd-friction-nonlinear-ultrasound
Stick-slip motion	Stick-slip friction	Intermittent sliding behaviour at a contact where surfaces alternately adhere (stick) and slide (slip) under applied shear	cr-xli-nonlinear-ultrasound-slides
Maxwell viscoelastic model	Maxwell model for non-Newtonian fluids	Mechanical analogy (spring + dashpot in series) used to describe viscoelastic fluid behaviour, introducing a relaxation time τ into the ultrasonic viscosity equation	schirru-phd-ultrasonic-viscosity-journal-bearing
Harmonic generation	Higher harmonic generation, odd harmonic generation	Production of frequency components at integer multiples (especially odd: 3ω, 5ω) of a fundamental driving frequency, caused by nonlinear interaction with a defect or frictional interface	li-phd-friction-nonlinear-ultrasound
Harmonic generation	Higher harmonic generation, odd harmonic generation	Production of frequency components at integer multiples (especially odd: 3ω, 5ω) of a fundamental driving frequency, caused by nonlinear interaction with a defect or frictional interface	cr-xli-nonlinear-ultrasound-slides
Acoustic impedance	Ultrasonic impedance; z	Product of material density and wave speed (z = ρ·c); determines reflection and transmission at interfaces	stamina-white-paper-v7
Acoustic impedance	Ultrasonic impedance; z	Product of material density and wave speed (z = ρ·c); determines reflection and transmission at interfaces	schirru-phd-ultrasonic-viscosity-journal-bearing
Acoustic impedance	Ultrasonic impedance; z	Product of material density and wave speed (z = ρ·c); determines reflection and transmission at interfaces	shah-meng-cylinder-bore-distortion
