concept_term	aliases_seen	one_line_definition	doc_slug
pulse-echo-overlap method	PEO method	Ultrasonic velocity measurement technique driving oscilloscope x-axis at reciprocal of travel time so successive echoes overlap	papadakis-1967-pulse-echo-overlap
diffraction phase correction	diffraction correction	Phase shift of ultrasonic beam due to wave diffraction near transducer that must be subtracted for accurate velocity measurement	papadakis-1967-pulse-echo-overlap
time-of-flight (TOF)	transit time	Time taken for an ultrasonic pulse to travel between two points; basis for distance and velocity measurement	hull-1985-correlation-tof; janssen-1995-tof-reproducible; lunde-2003-transient-diffraction-flow-meters
cross-correlation TOF	conjugate multiplication	TOF method that computes conjugate product of two echo spectra and takes IFFT; peak of result gives delay; robust for attenuating media	hull-1985-correlation-tof
phase-slope method	group delay method	TOF method computing group delay from slope of unwrapped cross-spectral phase vs. frequency (linear phase assumption)	hull-1985-correlation-tof
shear wave birefringence	acoustoelastic birefringence	Splitting of a shear wave into fast and slow polarisations in a stressed anisotropic material; magnitude proportional to stress	blinka-sachse-1976-pulse-spectroscopy
ultrasonic pulse spectroscopy	pulse spectroscopy	Frequency-domain analysis of broadband ultrasonic echoes; spectral minima spacing reveals differential shear-wave arrival time	blinka-sachse-1976-pulse-spectroscopy
acoustoelasticity	acoustoelastic effect	Dependence of ultrasonic velocity on mechanical stress; basis for stress measurement via wave speed change	blinka-sachse-1976-pulse-spectroscopy
coupling layer effects	couplant layer thickness	Influence of the liquid couplant thickness between transducer and specimen on waveform shape and TOF accuracy	janssen-1995-tof-reproducible
first zero-crossing method	zero-crossing TOF	TOF reference taken from first zero-crossing of received waveform; more reproducible than peak-picking for some setups	janssen-1995-tof-reproducible
near field (Fresnel zone)	Fresnel zone; near-field region	Region close to a transducer face (z < a²/λ) where pressure field is complex with multiple maxima and minima	zemanek-1971-nearfield-vibrating-piston; kelly-2003-nearfield-pressure-calculations; schmerr-sedov-1992-near-field-model; baggens-2015-impact-echo-near-field
far field (Fraunhofer zone)	Fraunhofer zone; far-field region	Region distant from the transducer (z >> a²/λ) where beam becomes regularly diverging and far-field approximations apply	zemanek-1971-nearfield-vibrating-piston; kelly-2003-nearfield-pressure-calculations
near-field distance	transition distance; N = a²/λ	Characteristic distance separating near and far field, N = D²f/(4c) = D²/(4λ); actual transition for beam regularity is ~0.75 N	zemanek-1971-nearfield-vibrating-piston; olympus-transducers-technical-notes
