concept_term	aliases_seen	one_line_definition	doc_slug
signal-to-noise ratio	SNR, dB	Ratio of signal power to noise power, often expressed in decibels	noise-and-snr-lecture
white noise		Noise with flat power spectral density across all frequencies	noise-and-snr-lecture
pink noise	1/f noise	Noise whose power spectral density is inversely proportional to frequency	noise-and-snr-lecture
Brownian noise	red noise, 1/f² noise	Noise whose power spectral density is inversely proportional to frequency squared	noise-and-snr-lecture
Gaussian noise		Noise whose amplitude follows a Gaussian (Normal) probability distribution	noise-and-snr-lecture
shot noise	Poisson noise	Noise arising from discrete charge carriers, following Poisson statistics	noise-and-snr-lecture
thermal noise	Johnson-Nyquist noise	Electrical noise due to thermal agitation of charge carriers; power = kTB	noise-and-snr-lecture
phase noise		Random fluctuations in the phase of an oscillator signal	noise-and-snr-lecture
flicker noise	1/f noise (low-frequency)	Low-frequency noise with 1/f power spectral density, distinct from pink noise in electronics context	noise-and-snr-lecture
signal averaging	ensemble averaging, boxcar averaging	Technique to reduce noise by averaging repeated measurements; SNR improves as √N	noise-and-snr-lecture
ergodic process		Stochastic process where time averages equal ensemble averages	noise-and-snr-lecture
AIC picker	Akaike Information Criterion autopicker	Seismic phase arrival picking algorithm that finds the minimum of the AIC characteristic function	p-wave-arrival-multiscale-wavelet
W-AIC picker		Wavelet-enhanced AIC picker combining DWT denoising with AIC autopicking for P-wave detection	p-wave-arrival-multiscale-wavelet
P-wave arrival picking	seismic phase picking	Automated identification of the onset time of a P-wave in a seismogram	p-wave-arrival-multiscale-wavelet
TOFD	Time-of-Flight Diffraction	Ultrasonic NDT technique using diffracted waves from defect tips to measure defect size and position	tofd-neural-network-defect
B-scan imaging		Two-dimensional ultrasonic image formed by scanning a transducer along a line	tofd-neural-network-defect
gated FFT	time-gated FFT	Fourier transform applied to a selected time window of a signal to isolate specific features	resonance-spectrum-fft-elastic-bodies
Rayleigh waves		Surface acoustic waves propagating along the surface of an elastic body with elliptical particle motion	resonance-spectrum-fft-elastic-bodies
Whispering Gallery modes		High-order resonance modes in curved elastic bodies involving waves circumscribing the surface	resonance-spectrum-fft-elastic-bodies
AM ranging	amplitude modulation ranging	Distance measurement technique based on the phase of an amplitude-modulated ultrasonic signal	multifrequency-am-ultrasonic-ranging
vernier principle		Technique combining two slightly different periodic scales to achieve higher resolution measurement	multifrequency-am-ultrasonic-ranging
phase shift measurement		Determining distance from the phase difference of transmitted and received signals	multifrequency-am-ultrasonic-ranging
delta-sigma modulation	ΔΣ modulation	Oversampled 1-bit analog-to-digital conversion technique using noise shaping	single-bit-cross-correlation-ultrasonic
single-bit signal processing		Signal processing using 1-bit quantised (delta-sigma) signal representations with logic operations	single-bit-cross-correlation-ultrasonic
cross-correlation		Signal processing operation that measures the similarity between two signals as a function of time lag	single-bit-cross-correlation-ultrasonic; digital-tof-ultrasonic-marioli
