concept_term	aliases_seen	one_line_definition	doc_slug
impulse excitation technique	impulse excitation	Method of measuring elastic modulus by tapping a rod, exciting a longitudinal standing wave, and measuring the resonant frequency with a microphone.	measuring-youngs-modulus-impulse-excitation
Young's modulus	elasticity modulus, elastic modulus, E	Material property relating stress to strain in uniaxial loading; calculated from resonant frequency and density in acoustic methods.	measuring-youngs-modulus-impulse-excitation
longitudinal standing wave	longitudinal resonance, fundamental longitudinal mode	A standing wave in which particle displacement is parallel to the wave propagation direction; in a free rod the fundamental has nodes at the midpoint and antinodes at the ends.	measuring-youngs-modulus-impulse-excitation
measurement uncertainty propagation	uncertainty budget, uncertainty analysis	Method of combining individual measurement uncertainties (by differentiation or quadrature addition) to estimate the total uncertainty in a derived quantity.	measuring-youngs-modulus-impulse-excitation
transverse resonance modes	flexural modes, bending resonance	Resonant modes in which particle motion is perpendicular to the rod axis; lower frequency than longitudinal modes for slender rods; used for elevated-temperature measurements.	measuring-youngs-modulus-impulse-excitation
STAMINA method	standing wave measurement of interfaces and layers, continuous-wave ultrasonics	Ultrasonic measurement method using a frequency-swept continuous wave to create a superimposed standing wave in a component, enabling back-face measurement of surface layer properties.	stamina-white-paper
standing wave reflection coefficient	S	Ratio of the RMS amplitude of the standing wave in the measurement condition to the reference (solid-air) condition; used to extract the interface reflection coefficient R.	stamina-white-paper
resonant frequency	fs, characteristic frequency, Δf	Frequency at which constructive interference of all reflections maximises the standing wave amplitude; fs = c/(2L) for the fundamental mode.	stamina-white-paper
acoustic impedance	z	Product of material density and speed of sound (z = ρc); determines the fraction of an ultrasonic wave reflected at an interface.	stamina-white-paper
spring model	Schoenberg spring model	Model treating a thin interface layer as a spring of stiffness K; reflection coefficient depends on K and wave frequency, valid when layer thickness is much less than acoustic wavelength.	stamina-white-paper
contact stiffness	interface stiffness, K	Effective stiffness of an interface layer (thin film, rough contact) that determines the proportion of ultrasound reflected; K = B/h for a liquid layer of bulk modulus B and thickness h.	stamina-white-paper
attenuation coefficient	α	Material property quantifying the exponential decay of ultrasonic wave amplitude with distance (A = A₀ e^{−αL}).	stamina-white-paper
shear wave viscosity measurement		Method using shear-polarised ultrasound to measure liquid viscosity from the complex acoustic impedance at a solid-liquid interface.	stamina-white-paper
bolt tension measurement	acoustoelastic bolt load	Use of ultrasonic wave velocity or resonant frequency shift in a bolt to measure applied tensile load without direct access to the bolt interior.	stamina-white-paper
frequency-tracking technique	sampled-continuous-wave technique, frequency-tracked gated rf pulses	Ultrasonic spectrum analysis method in which the RF drive frequency is slaved to the spectrum analyser's sweep frequency, eliminating finite-pulse-width modulation artefacts.	ultrasonic-spectrum-analysis-frequency-tracked-rf
ultrasonic frequency analysis	pulse spectrum analysis	Analysis of ultrasonic echoes in the frequency domain (via Fourier transform) to measure material velocity, attenuation, and flaw characteristics.	ultrasonic-spectrum-analysis-frequency-tracked-rf
acoustoelectric transducer	AET, phase-insensitive receiver	Ultrasonic receiver that outputs a DC signal proportional to total acoustic flux regardless of phase; works with frequency-tracking but not broadband shock excitation.	ultrasonic-spectrum-analysis-frequency-tracked-rf
echo gating	receiver gate	Temporal windowing of ultrasonic echoes before spectrum analysis; gate width and position affect conventional analysis but not frequency-tracking results.	ultrasonic-spectrum-analysis-frequency-tracked-rf
multiple reflection method	multiple wave method, continuous-wave standing wave technique	Variant of the standing wave technique in which successive reflections amplify the influence of the interface reflection coefficient, enabling measurement of thinner and thicker films than single-pulse methods.	multiple-reflection-method-oil-film-model
oil film thickness measurement	lubricant film thickness, h	Measurement of the thickness of a thin oil layer at an interface using the ultrasonic spring model or standing wave method; effective range roughly 0.5–15 µm for spring model.	multiple-reflection-method-oil-film-model
phase shift at interface	φ	Shift in wave phase upon reflection at an interface; ranges from 0 (thick film, K→0) to π/2 (thin film, K→∞); governs the resonant frequency condition in standing wave methods.	multiple-reflection-method-oil-film-model
constructive interference	destructive interference	Superposition of waves of equal frequency travelling in opposite directions; produces standing wave maxima (antinodes) and minima (nodes).	multiple-reflection-method-oil-film-model
resonance acoustic spectroscopy	RAS	Technique using the acoustic resonance spectrum of a component (particularly cylindrical) to characterise its material properties or detect defects; referenced by title only in the PREVIEW file.	ultrasonic-nde-cylindrical-resonance-spectroscopy
