concept_term	aliases_seen	one_line_definition	doc_slug
acoustic impedance matching	impedance matching layer	Technique of inserting an intermediate material layer between two media to maximise acoustic energy transfer across their interface.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
quarter-wavelength matching layer	λ/4 layer, lambda/4 layer	A layer whose thickness equals one quarter of the acoustic wavelength at the operating frequency, causing constructive interference of multiple internal reflections and maximising transmission.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
air-coupled piezoelectric transducer	non-contact ultrasonic transducer	A piezoelectric ultrasonic transducer designed to radiate and receive through air rather than a liquid or solid coupling medium.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
attenuation per wavelength	γ (gamma), constant-Q attenuation	Acoustic attenuation expressed as energy lost per wavelength of propagation (units: Np); a material-intrinsic figure of merit independent of frequency for constant-Q materials.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
insertion loss	two-way insertion loss, IL	Ratio (in dB) of the electrical signal received by the transducer to the signal sent, measured through the full transmit-receive path in air.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
KLM model	Desilets model, transmission-line model	Equivalent circuit (Krimholtz-Leedom-Matthaei) model for piezoelectric transducers that accounts for finite element thickness and is used to optimise matching layer impedances for maximum bandwidth.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
filtration membrane	membrane filter	Thin, highly porous polymeric sheet used industrially for filtration; repurposed here as a low-impedance, low-attenuation λ/4 acoustic matching layer.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
silica aerogel	aerogel	Ultra-low-density porous silica solid with acoustic impedance ~0.06–0.1 MRayl and very low attenuation, theoretically ideal for air-coupled matching but mechanically impractical above ~1 MHz.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
polyethersulfone membrane	PES membrane	Polymeric filtration membrane exhibiting the lowest attenuation (γ < 0.11 Np) among materials tested; best candidate for air-coupled λ/4 matching layers from 0.5–1.2 MHz.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
impedance mismatch	acoustic mismatch	The large ratio between acoustic impedances of two media (e.g. ~35 MRayl for PZT vs ~400 Rayl for air) that causes near-total reflection of acoustic energy at their interface.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
power-law attenuation	frequency-dependent attenuation	Empirical relationship α = α₀ f^β describing how attenuation coefficient scales with frequency in porous materials; β > 1 means attenuation per wavelength increases with frequency, setting an upper usable frequency limit.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
nondestructive testing	NDT, NDE	Evaluation of materials or structures without causing damage, here via air-coupled ultrasound for materials characterisation and flaw detection.	2004-acoustic-impedance-matching-piezoelectric-transducers-air-gomez
