concept_term	aliases_seen	one_line_definition	doc_slug
interfacial transfer function (ITF)	ITF, interface transfer matrix	A 2×2 matrix relating displacement and stress states on either side of a thin interface, encapsulating its rheological and inertial properties	ultrasonic-inspection-thin-adhesive-layers-fraisse-1992
imperfect boundary conditions	spring-mass interface model, imperfect contact	Boundary conditions that allow small jumps in stress or displacement across an interface, replacing classical continuity conditions	ultrasonic-inspection-thin-adhesive-layers-fraisse-1992
specific stiffness (K*)	interfacial stiffness	Complex stiffness of an interface per unit area (units: GPa/mm or Pa/m), defined as stress jump divided by relative displacement jump	ultrasonic-inspection-thin-adhesive-layers-fraisse-1992
thin-layer (long-wavelength) approximation	k*d << 1 condition	Condition under which a layer of thickness d is acoustically equivalent to an interface: the product of wave number and thickness is much less than one	ultrasonic-inspection-thin-adhesive-layers-fraisse-1992
gel point	gelation point, rheological gel point	The moment during polymer cure when the loss tangent (G''/G') equals one, marking transition from viscous liquid to elastic network	ultrasonic-inspection-thin-adhesive-layers-fraisse-1992
Zener viscoelastic model	standard linear solid	A rheological model with a spring in parallel with a Maxwell element, producing frequency-dependent complex modulus: K* = K0 + K1[jωτ/(1+jωτ)]	ultrasonic-inspection-thin-adhesive-layers-fraisse-1992
reflection coefficient	R, ultrasonic reflectance	Ratio of reflected to incident acoustic wave amplitude at an interface or layered structure; function of acoustic impedance contrasts and geometry	ultrasonic-inspection-thin-adhesive-layers-fraisse-1992
acoustic impedance	mechanical impedance, z = ρv	Product of material density and acoustic wave velocity; determines how much a wave reflects vs. transmits at an interface	ultrasonic-attenuation-adhesive-bond-modeling-meyer-1977
spectral depression	resonance minimum, frequency null	A dip in the Fourier-domain reflection spectrum caused by destructive interference of multiple internal echoes within a bondline at frequencies satisfying d = nλ/2	ultrasonic-attenuation-adhesive-bond-modeling-meyer-1977
attenuation function	frequency-dependent attenuation	A description of acoustic energy loss (dB/cm) as a function of frequency in the bondline material; affects both pulse shape and spectral depression depth	ultrasonic-attenuation-adhesive-bond-modeling-meyer-1977
five-layer adhesive bond model	5-layer model	A model of adhesively bonded structures as: adherend / interfacial layer / adhesive / interfacial layer / adherend, replacing the simpler 3-layer version to capture adhesion failure	acoustic-wave-propagation-adhesive-bond-degrading-interfacial-anastasi-1992
input impedance method	Brekhovskikh recursion, transmission line analogy	Recursive calculation of the effective acoustic impedance seen by an incident wave at each layer interface of a multilayer stack, used to compute the overall reflection coefficient	acoustic-wave-propagation-adhesive-bond-degrading-interfacial-anastasi-1992
resonant frequency minimum bandwidth	spectral depression bandwidth	The frequency width of the spectral depression around a resonance minimum; found to be proportional to bond quality — wider for stronger bonds	acoustic-wave-propagation-adhesive-bond-degrading-interfacial-anastasi-1992
finite element method (FEM) for acoustics	FEM, numerical wave propagation	Discretization of the acoustic wave equation in space (finite elements) and time (explicit central-difference stepping) to compute mechanical displacement fields in bonded structures	acoustic-wave-propagation-adhesive-bond-degrading-interfacial-anastasi-1992
pulse-echo mode	pulse-echo ultrasound	Measurement configuration where the same transducer emits and receives ultrasonic pulses; time-of-flight and amplitude of echoes encode material properties	adhesive-cure-monitoring-acoustic-severina
sigmoidal velocity curve	S-curve, velocity-time profile	The characteristic S-shaped rise of longitudinal wave velocity during polymer curing, reflecting the liquid-to-crosslinked-solid transformation	adhesive-cure-monitoring-acoustic-severina
acoustic microscopy	scanning acoustic microscopy, C-scan imaging	High-frequency ultrasound imaging technique producing spatial maps (C-scans) of acoustic amplitude or time-of-flight to visualize microstructure or defects	adhesive-cure-monitoring-acoustic-severina
electromechanical impedance (EMI) method	EMI, piezoelectric impedance method	NDE technique that measures the electrical impedance of a bonded PZT transducer; structural and bonding-layer resonances modulate the impedance spectrum	piezoelectric-sensor-adhesive-bonding-assessment-wandowski-2015
terahertz (THz) spectroscopy	THz-TDS, time-domain terahertz	Non-contact electromagnetic inspection technique (0.1–3 THz) used in reflection C-scan mode to image the spatial distribution of adhesive layers beneath surfaces	piezoelectric-sensor-adhesive-bonding-assessment-wandowski-2015
transducer debonding	PZT debonding, sensor detachment	Partial or full loss of adhesive contact between a piezoelectric sensor and its host structure, detectable by emergence of free-transducer resonance peaks in EMI spectra	piezoelectric-sensor-adhesive-bonding-assessment-wandowski-2015
structural health monitoring (SHM)	SHM	Continuous or periodic automated monitoring of structural integrity using permanently installed sensor networks	piezoelectric-sensor-adhesive-bonding-assessment-wandowski-2015
