concept_term	aliases_seen	one_line_definition	doc_slug
ultrasonic velocity–temperature dependence	V(T), velocity-temperature relation, dV/dT	The decrease in ultrasonic wave speed with increasing temperature in solids, used as the basis for acoustic thermometry.	ihara-takahashi-2007-internal-temperature-profile; ihara-2009-ultrasound-thermometry-internal-gradient; wei-2020-2d-temperature-reconstruction; scruby-1993-summary-velocity-temp; scruby-1993-noncontact-laser-ultrasonics-steel; scruby-1993-speed-vs-temp-data; date-1971-elasticity-ultrasound-velocities-steel; takahashi-2008-temperature-single-sided-heating; chen-1999-polymer-extrusion-ultrasonic-temperature; ihara-2011-sintered-materials-temperature; takahashi-ihara-2008-silicone-rubber-temperature; dewhurst-1988-remote-laser-system-velocity; matsumoto-2001-laser-ultrasonics-high-temp; dubois-2001-laser-ultrasonics-phase-transformations
ultrasonic thermometry	acoustic thermometry, ultrasonic temperature measurement	Non-invasive temperature measurement by inverting measured ultrasonic transit times using a calibrated V(T) relation.	ihara-takahashi-2007-internal-temperature-profile; ihara-2009-ultrasound-thermometry-internal-gradient; wadley-1986-ultrasonic-internal-temperature; wei-2020-2d-temperature-reconstruction; chen-1999-polymer-extrusion-ultrasonic-temperature; takahashi-2008-temperature-single-sided-heating; ihara-2011-sintered-materials-temperature
bisection algorithm	layer-peeling, recursive inversion	Iterative algorithm that reconstructs internal temperature profile layer-by-layer from consecutive pulse-echo TOF differences and a calibrated V(T) curve.	ihara-takahashi-2007-internal-temperature-profile; ihara-2009-ultrasound-thermometry-internal-gradient; takahashi-2008-temperature-single-sided-heating; takahashi-ihara-2008-silicone-rubber-temperature
pulse-echo method	pulse-echo ultrasound	Single-transducer ultrasonic measurement where the same face sends and receives reflections from internal or far-face boundaries.	ihara-takahashi-2007-internal-temperature-profile; ihara-2009-ultrasound-thermometry-internal-gradient; wadley-1986-ultrasonic-internal-temperature; scruby-1993-noncontact-laser-ultrasonics-steel
longitudinal wave velocity	compressional wave velocity, V_L, P-wave velocity	Speed of propagation of longitudinal (compressional) ultrasonic waves in a medium.	scruby-1993-speed-vs-temp-data; papadakis-1964-attenuation-velocity-steel-microstructures; date-1971-elasticity-ultrasound-velocities-steel; dewhurst-1988-remote-laser-system-velocity; matsumoto-2001-laser-ultrasonics-high-temp; hutchins-1989-noncontact-ultrasonic-aluminium; chen-1999-polymer-extrusion-ultrasonic-temperature; ihara-takahashi-2007-internal-temperature-profile; anderson-1959-equation-of-state-solids
shear wave velocity	transverse wave velocity, V_S, S-wave velocity	Speed of propagation of shear (transverse) ultrasonic waves in a solid.	wei-2020-2d-temperature-reconstruction; papadakis-1964-attenuation-velocity-steel-microstructures; date-1971-elasticity-ultrasound-velocities-steel; scruby-1993-summary-velocity-temp
surface acoustic wave	SAW, Rayleigh wave	Elastic wave propagating along the free surface of a solid, with amplitude decaying exponentially with depth.	schulz-1970-saw-velocity-quartz; ihara-2011-2d-surface-temperature-laser; takahashi-2009-saw-surface-temperature
Curie temperature	magnetic transition, Curie point, ferromagnetic-paramagnetic transition	Temperature above which a ferromagnetic material becomes paramagnetic; associated with an anomaly in ultrasonic velocity and attenuation.	darbari-1968-attenuation-carbon-stainless-steel; tripathi-1973-attenuation-carbon-steel-temperature; west-1958-ultrasound-nickel-single-crystal; dubois-2001-laser-ultrasonics-phase-transformations; dewhurst-1988-remote-laser-system-velocity; scruby-1993-noncontact-laser-ultrasonics-steel; papadakis-1972-momentary-contact-attenuation; burrows-2014-emat-high-temperature
Curie temperature of cementite	cementite Curie point, Fe3C Curie temperature	The ~200–215°C ferromagnetic Curie temperature of the iron carbide phase Fe₃C (cementite), causing an attenuation peak in carbon steels at that temperature.	darbari-1968-attenuation-carbon-stainless-steel; tripathi-1973-attenuation-carbon-steel-temperature
ferrite–austenite transformation	alpha–gamma iron transformation, A3 transformation	The solid-state phase transformation in steel from body-centred cubic ferrite to face-centred cubic austenite at ~910°C, causing a discontinuity in ultrasonic velocity.	dewhurst-1988-remote-laser-system-velocity; scruby-1993-noncontact-laser-ultrasonics-steel; dubois-2001-laser-ultrasonics-phase-transformations; papadakis-1972-momentary-contact-attenuation; date-1971-elasticity-ultrasound-velocities-steel; matsumoto-2001-laser-ultrasonics-high-temp
