concept_term	aliases_seen	one_line_definition	doc_slug
air-coupled ultrasound (ACU)	airborne ultrasound, airborne ultrasonics, non-contact ultrasound	Ultrasonic measurement using air as the coupling medium between transducer and object; avoids liquid couplant	sukmana-2005-acu-roughness-first
pulse-echo mode	reflection mode	Single-transducer configuration where the same element transmits and receives the reflected echo	sukmana-2005-acu-roughness-first
pitch-catch mode	through-transmission, two-transducer mode	Two-transducer configuration with separate transmitter and receiver; used for transmission or oblique scattering measurements	sukmana-2005-acu-roughness-first
Kirchhoff scattering model	tangent-plane approximation, physical optics approximation	Assumes local plane-wave reflection at each surface point; valid when radius of curvature >> λ; gives coherent intensity I ∝ exp(−k²Rq²(cosθᵢ+cosθᵣ)²/2)	sukmana-2005-acu-roughness-first
coherent scattered field	specular component	Component of scattered field that retains phase coherence; its amplitude decays as Rayleigh factor exp(−(2kσcosθ)²) with roughness	brekhovskikh-2003-scattering-rough-surfaces
diffuse scattered field	incoherent component, diffuse component	Incoherent scattered energy distributed across angles; sensitive to both rms roughness Rq and surface correlation length λ₀	sukmana-2006-diffuse-component-roughness
rms roughness (Rq)	root-mean-square roughness, σ	Square root of mean-squared surface height deviation from mean plane; primary vertical roughness parameter	sukmana-2005-acu-roughness-first
surface correlation length (λ₀)	lateral correlation length, autocorrelation length	Lateral length over which surface height fluctuations become uncorrelated; controls angular spread of diffuse scattering	sukmana-2006-diffuse-component-roughness
Rayleigh parameter (P)	Rayleigh roughness criterion	P = 2kσcosθ₀; surface is acoustically smooth (specular) when P << 1, rough (diffuse) when P >> 1	brekhovskikh-2003-scattering-rough-surfaces
normalised roughness product (Rq·f)	roughness-frequency product	Product of rms roughness and frequency used as master parameter for coherent ACU; Kirchhoff model valid for Rq·f < 100 μm·MHz	sukmana-2005-acu-roughness-first
Method of Small Perturbations (MSP)	perturbation theory, Born approximation (acoustics)	First-order expansion of boundary condition at rough surface about mean plane; valid when kσ << 1 and kσ·slope << 1	brekhovskikh-2003-scattering-rough-surfaces
two-parameter surface description	Rq + λ₀ characterisation	Complete second-order statistical description of a random rough surface using both vertical (Rq) and lateral (λ₀) parameters	sukmana-2007-two-parameter-roughness-acu
non-Gaussian roughness	skewed surface, non-normal height distribution	Surface whose height probability distribution deviates from Gaussian; characterised by skewness Rsk and kurtosis Rku	saniman-2016-non-gaussian-feasibility
skewness (Rsk)	third central moment, height distribution asymmetry	Third standardised moment of surface height distribution; positive for peaks-dominated surfaces, negative for valleys-dominated	saniman-2016-non-gaussian-feasibility
kurtosis (Rku)	fourth central moment, peakedness	Fourth standardised moment of surface height distribution; Rku = 3 for Gaussian; >3 for spiky surfaces	saniman-2016-non-gaussian-feasibility
Johnson distribution	Johnson SB/SU distribution	Flexible four-parameter probability distribution used to model non-Gaussian surface heights in ultrasonic roughness models	saniman-2016-non-gaussian-feasibility
modified Kirchhoff correction factor (CF)	Rq' correction, non-Gaussian correction	Empirical scaling Rq' = CF × Rq to correct Kirchhoff model for non-Gaussian surfaces; CF = 1.864/(1.864+0.059|Rsk|) (Saniman 2016)	saniman-2016-non-gaussian-feasibility
scattering attenuation model	AS model	AS = R(θ̄ᵢ)·exp(−8π²f²Rq²/V₁²); models amplitude loss due to roughness scattering as exponential function of f²Rq²	lian-2019-roughness-scattering-attenuation
shadowing function	masking, self-shadowing	Geometric factor accounting for rough-surface facets that are hidden from illumination or observation at non-normal incidence; important above ~20° incidence angle	wagner-1967-shadowing-rough-surfaces
Wagner shadowing function	single-scattering shadow, geometric shadow	Statistical model of shadowing probability for randomly rough surfaces assuming single-scattering; Wagner (1967) JASA 41(1)	wagner-1967-shadowing-rough-surfaces
McCoy shadowing correction	multiple-scattering shadow	Extension of shadowing model to include multiple-scattering effects between surface facets; McCoy (1989) JASA 86(4)	mccoy-1989-shadowing-rough-surfaces
angular echo distribution	P(θ)/P(0°), echo angle dependence	Normalised ultrasonic echo amplitude as a function of beam angle; monotone increase with Rq at θ ≥ 20°	kudo-2007-angular-echo-roughness-jjap
2D DFT of angular echo	2D power spectrum, spatial frequency analysis	Two-dimensional Fourier transform of angular echo distribution used to characterise surface step height from peak spatial frequency	kudo-2006-angular-echo-frequency-domain
unequally-spaced DFT	UDFT, non-uniform DFT	Discrete Fourier transform for irregularly sampled data; used when beam-steering angle spacing is non-uniform	kudo-2007-angular-echo-roughness-jjap
phased array beam steering	electronic beam scanning	Electronic control of transducer array phase delays to steer ultrasonic beam through angular range without mechanical movement	hasegawa-2007-angular-echo-roughness
CMUT (capacitive micromachined ultrasonic transducer)	capacitive transducer, MEMS ultrasonic transducer	Microfabricated ultrasonic transducer using electrostatic (capacitive) actuation; low acoustic impedance makes it suitable for air coupling	bui-2015-polymer-cmut-roughness
EMFIT transducer	electromechanical film transducer	Piezoelectric film transducer with broad bandwidth (10 kHz–1 MHz) suitable for air-coupled measurements	epure-2012-wide-frequency-emfit-transducers
1-3 piezocomposite transducer	1-3 composite, Kapton composite transducer	Transducer with piezoceramic rods in polymer matrix; low acoustic impedance improves matching to air; used for air-coupled NDE	1-3-composites-air-transducers
impedance mismatch (air-solid)	acoustic impedance mismatch	Z_air ≈ 428 Pa·s/m vs Z_steel ≈ 46×10⁶ Pa·s/m; transmission coefficient ~2×10⁻⁵ in pressure; requires efficient transducers for ACU	vladisauskas-2004-absorption-ultrasonic-air
time-of-flight (TOF)	transit time, travel time	Time for an ultrasonic pulse to travel from transmitter to receiver; primary measurement quantity for range, velocity, and thickness	saad-2011-fhss-ultrasonic-ranging
speed of sound in air (c)	sound velocity in air, acoustic velocity	c = √(γP/ρ) ≈ 331 + 0.606t m/s at dry air; depends on T, P, humidity, CO2; ~343 m/s at 20°C, 1 atm, 50% RH	cramer-1993-speed-sound-air
Cramer formula	speed of sound polynomial	16-coefficient polynomial giving c as function of t (°C), p (kPa), x_w, x_c; uncertainty < 300 ppm; JASA 93(5) 1993	cramer-1993-speed-sound-air
virtual temperature (T_v)	acoustic temperature	Temperature inferred from sound speed assuming dry air; overestimates true temperature in humid air due to lower molecular weight of H₂O	kon-2010-humidity-temperature-ultrasound
classical + rotational absorption (α_cr)	viscothermal absorption, Stokes-Kirchhoff loss	Irreversible viscous and thermal conduction losses; α_cr = 1.83×10⁻¹¹(T/T₀)^(1/2) f²/(P/P₀) Np/m; dominant above ~500 kHz	bond-1992-absorption-air-high-freq
molecular vibrational relaxation absorption	O₂ relaxation, N₂ relaxation, relaxation absorption	Energy exchange between translational and vibrational modes of O₂ and N₂; produces humidity-dependent absorption peak at audio/low-ultrasonic frequencies	evans-1972-atmospheric-absorption-theoretical
O₂ relaxation frequency (f_r,O)	oxygen relaxation frequency	Characteristic frequency of O₂ vibrational relaxation; strongly humidity-dependent; controls position of absorption maximum in 1–100 kHz range	bass-1990-atmospheric-absorption-update
N₂ relaxation frequency (f_r,N)	nitrogen relaxation frequency	Characteristic frequency of N₂ vibrational relaxation; less humidity-sensitive than O₂; contributes secondary absorption peak at higher f/P	bass-1990-atmospheric-absorption-update
ISO 9613-1	ANSI S1.26, atmospheric absorption standard	International standard formula for total atmospheric sound absorption (classical + vibrational relaxation); valid ~50 Hz–10 kHz; extended to ~1 MHz in Vladisauskas 2004	bass-1995-atmospheric-absorption-further
atmospheric absorption (α)	air absorption, propagation loss in air	Total sound attenuation in air from classical + molecular relaxation mechanisms; depends on f, T, P, RH	harris-1966-absorption-humidity-temperature
humidity effect on absorption	RH dependence of attenuation	Absorption vs RH is non-monotone at audio frequencies: maximum at humidity where f = f_r; above ~500 kHz humidity effect negligible	harris-1966-absorption-humidity-temperature
humidity effect on sound velocity	RH dependence of c	Sound speed first decreases then increases with RH at audio frequencies (minimum at ~14% RH, 20°C); above 30% RH increases linearly; due to O₂ relaxation + lighter H₂O molecule	harris-1971-humidity-velocity-sound
vibrational relaxation dispersion	frequency-dependent sound speed	Frequency dependence of c arising from vibrational relaxation; related to absorption via Kramers-Kronig; causes c to decrease at fixed audio frequency as humidity increases	morfey-1980-speed-sound-frequency-humidity
Kramers-Kronig relations	causality relations, dispersion relations	Mathematical relations linking frequency-dependent phase velocity to absorption spectrum; allow c(f) to be derived from α(f) and vice versa	morfey-1980-speed-sound-frequency-humidity
Wong-Embleton polynomial	c_h/c_0 polynomial	c_h/c_0 = 1 + h(9.66×10⁻⁴ + ...) polynomial for equilibrium sound speed ratio vs humidity h and temperature t; valid 0–30°C, 0–100% RH	wong-1985-speed-sound-humidity-temperature
specific heat ratio (γ) in moist air	ratio of specific heats, adiabatic index	γ = C_p/C_v; γ_dry = 1.4029 at STP; changes with humidity and CO2 concentration; controls speed of sound via c = √(γP/ρ)	cramer-1993-speed-sound-air
saturation vapour pressure (P_sat)	water vapour saturation pressure	Maximum partial pressure of water vapour at a given temperature; used to convert relative humidity h_r to mole fraction x_w; formula corrected in Bass 1995	bass-1995-atmospheric-absorption-further
isochoric process (closed chamber)	constant-volume process	Temperature change at constant volume; causes pressure to rise and relative humidity to change non-linearly; leads to non-monotone attenuation vs T at 200 kHz	jakevicius-2008-attenuation-closed-chambers
isobaric process (closed chamber)	constant-pressure process	Temperature change at constant pressure; volume expands, RH drops; attenuation increases linearly with T at all ACU frequencies	jakevicius-2008-attenuation-closed-chambers
dew point condensation	water condensation, fog	Temperature at which air becomes saturated and water condenses; causes anomalous ultrasonic attenuation and measurement error	jakevicius-2008-attenuation-closed-chambers
excess attenuation by turbulence	turbulence-induced attenuation	Additional sound attenuation beyond geometric spreading and molecular absorption; caused by turbulent refractive index fluctuations; A_e = 10log(1 + D_t²/D_f²)	brown-1976-attenuation-turbulence
turbulent beam broadening	beam spreading by turbulence	Expansion of acoustic beam diameter due to random phase fluctuations from refractive index turbulence; D_t² = 2.51∫(L-s)^(5/3) C_n²(s) ds	brown-1976-attenuation-turbulence
refractive index structure parameter (C_n²)	structure function parameter	Coefficient of proportionality in the power-law structure function for refractive index fluctuations; characterises turbulence strength in atmospheric acoustics	brown-1976-attenuation-turbulence
path weighting asymmetry	(L-s)^(5/3) weighting	Turbulence near the transmitter (s ≈ 0) contributes most to beam broadening and excess attenuation due to (L-s)^(5/3) factor	brown-1976-attenuation-turbulence
turbulence intensity (Tu)	relative turbulence intensity	Tu = σ_v/V_mean × 100%; ratio of velocity fluctuation standard deviation to mean velocity; key parameter for draught sensation model	fanger-1988-draught-turbulence
draught sensation (PD model)	Percentage Dissatisfied, draught risk	PD = f(T_a, V_mean, Tu); HVAC comfort model showing that turbulence intensity significantly increases draught discomfort at same mean velocity	fanger-1988-draught-turbulence
humidity measurement via TOF	acoustic humidity sensing, ultrasonic hygrometry	Relative humidity inferred from measured sound speed (TOF), known temperature, and atmospheric pressure; RHU error ≤ 16.4% at 40 kHz	kon-2010-humidity-temperature-ultrasound
40 kHz airborne ultrasound	low-frequency ACU, standard proximity ultrasound	Most common air-coupled frequency for ranging and sensing; Nippon Ceramic PT40/PR40 and similar transducers; balances range (low α) with spatial resolution	kon-2010-humidity-temperature-ultrasound
FHSS ranging (ultrasonic)	frequency-hopping spread spectrum, spread-spectrum ranging	Ranging using frequency-hopping spread-spectrum coded transmission to achieve sub-mm TOF accuracy and multipath rejection in air	saad-2011-fhss-ultrasonic-ranging
FMCW ranging	frequency-modulated continuous wave	Ranging technique using continuous frequency-swept signal; range derived from beat frequency between transmitted and received signal	fmcw-distance-medium-velocity
AMPI signal	amplitude-modulated phase-inverted driving signal	Specific drive waveform for ultrasonic transducers that improves TOF accuracy by shaping envelope and suppressing ringing	ampi-tof-measurement
resonant pulse-echo ACU	high-Q resonant ACU	ACU technique exploiting transducer resonance for high sensitivity; high-Q materials give narrowband high-amplitude response; Álvarez-Arenas 2019	alvarez-arenas-2019-resonant-pulse-echo-acu
