concept_term	aliases_seen	one_line_definition	doc_slug
ultrasonic pulse-echo mode	pulse/echo, pulse echo	A single transducer emits a sound pulse and receives the reflected echo; ToF to the reflecting surface gives thickness	birring-kwun-ultrasonic-wear
time-of-flight (ToF)	transit time, time delay, tB, tP	The elapsed time for an ultrasonic pulse to travel from transducer to reflecting surface and back; used to calculate thickness via d = vt/2	birring-kwun-ultrasonic-wear
phase-comparison technique	ultrasonic interferometry	Measures sub-nanosecond changes in ToF by tracking the CW frequency shift needed to maintain fixed echo phase, achieving theoretical wear resolution of 0.015 µm	birring-kwun-ultrasonic-wear
temperature compensation	thermal error correction	Correction applied to ultrasonic wear measurements to remove the apparent thickness change caused by thermal expansion and acoustic velocity variation with temperature	birring-kwun-ultrasonic-wear
piezoelectric transducer	PZT, piezoelectric crystal, lead metaniobate	A device that converts electrical pulses to mechanical (ultrasonic) waves and vice versa, used to both generate and receive ultrasound	birring-kwun-ultrasonic-wear
wear land height (VB)	flank wear, tool wear land	The height of the worn flat area on a cutting tool flank, used as the standard ISO metric for tool wear; uniform-wear limit VB = 0.3 mm	nayfeh-integrated-ultrasonic-turning
delay-line transducer	ultrasonic delay-line	A transducer coupled to a buffer rod (delay line) that separates the electrical excitation pulse from the material echoes in time, enabling near-surface measurements	nayfeh-integrated-ultrasonic-turning
waveform integral	area under waveform, echo energy metric	The integral of absolute amplitude of the A-scan waveform over a gated region; increases with flank/nose wear as flat reflecting area grows	nayfeh-integrated-ultrasonic-turning
reference reflection	notch reflection, reference notch	A fixed internal reflector (notch or hole) placed at a known depth in the specimen that shifts with temperature alongside the wear-face echo, allowing thermal effects to be subtracted	brunskill-realtime-wear-reflectometry
resonant frequency dip method	FFT dip method	A frequency-domain technique in which subsurface holes near the wear surface create constructive/destructive interference dips in the FFT spectrum; dip positions track remaining material thickness independently of global temperature	brunskill-realtime-wear-reflectometry
buffer rod sensor	buffer rod, non-clad buffer rod, clad buffer rod	A steel waveguide rod that mechanically separates a room-temperature transducer from a hot barrel surface, enabling ultrasonic coupling at elevated process temperatures	jen-ultrasonic-barrel-screw
sol-gel sprayed piezoelectric film	BIT/PZT film, HTUT sol-gel	High-temperature ultrasonic transducer formed by spraying bismuth-titanate / PZT gel directly onto a hot surface and poling; operates up to 600 °C, no couplant required	jen-ultrasonic-barrel-screw
barrel/screw clearance	dF, barrel-screw gap	The distance between the inner barrel wall and the screw flight tip in an extruder; a key process health indicator combining barrel wear, screw wear, and misalignment	jen-ultrasonic-barrel-screw
screw deflection	transient screw deviation	Short-timescale positional variation of the screw shaft from its mean position during extrusion, caused by asymmetric melt loads; distinguishable from steady-state misalignment	jen-ultrasonic-barrel-screw
screw misalignment	mean screw offset	Steady-state deviation of the screw shaft axis from the extruder bore axis, determined by time-averaging clearance measurements	jen-ultrasonic-barrel-screw
transmitter-receiver (T-R) configuration	pitch-catch configuration	Two separate transducers (transmitter and receiver) set at an inclination angle to generate refracted waves at a desired mode and angle in the inspection target	katchadjian-calandria-tube-nuclear
critical angle	first critical angle	The incidence angle at which the refracted longitudinal wave in a medium reaches 90°; beyond this angle only transverse waves exist in the second medium	katchadjian-calandria-tube-nuclear
calandria tube wear	CT wear	Reduction of wall thickness in the Zircaloy-2 calandria tubes of a CANDU reactor caused by contact with LISS nozzles; minimum acceptable remaining thickness 0.6 mm	katchadjian-calandria-tube-nuclear
B-scan imaging	B-scan	A 2-D cross-sectional ultrasonic image formed by scanning the transducer and plotting echo time (depth) against position, used here to map CT wall thickness along the tube axis	katchadjian-calandria-tube-nuclear
mass-loss wear measurement	gravimetric wear measurement	Classical wear quantification by weighing a specimen before and after a test; limited by inability to distinguish material removal from material transfer	brunskill-realtime-wear-reflectometry
signal-to-noise ratio (SNR)	SNR	Ratio of useful echo amplitude to surrounding noise amplitude; governs time-delay measurement accuracy in ultrasonic thickness gauging	jen-ultrasonic-barrel-screw
acoustic impedance mismatch	impedance contrast	Difference in acoustic impedance (ρv) between two materials at an interface; determines the fraction of ultrasonic energy reflected vs. transmitted	nayfeh-integrated-ultrasonic-turning
