concept_term	aliases_seen	one_line_definition	doc_slug
multimodal scattering matrix	scattering matrix, S-matrix	Matrix relating outgoing modal pressure amplitudes to incoming modal pressure amplitudes at both ends of a duct element; encodes reflection and transmission for all propagating modes	geometry-impedance-porous-duct
acoustic power attenuation	W_att	Ratio (in dB) of incoming to outgoing acoustic power across a duct element, derived from eigenvalues of S'†S'	geometry-impedance-porous-duct
Delany-Bazley model	Delany and Bazley empirical model	Empirical expressions for the characteristic impedance Z_c and propagation constant k_c of a fibrous porous material as a function of frequency and flow resistivity	geometry-impedance-porous-duct
Elnady-Boden impedance model	perforated plate impedance	Semi-empirical model for the acoustic impedance of a perforated plate accounting for hole geometry and grazing flow effects	geometry-impedance-porous-duct
acoustic liner	duct liner, locally reacting liner	Sound-absorbing wall treatment in a duct composed of a perforated face-sheet, porous layer, and rigid backing; characterized by its surface impedance	geometry-impedance-porous-duct
transfer matrix method	Thomson-Haskell method, propagator matrix method	Technique that describes wave propagation in each layer by a matrix relating boundary quantities (stress, displacement or pressure waves) at the two surfaces, cascading matrices across all layers	matrix-techniques-multilayered-media-lowe
global matrix method	—	Matrix method that assembles all layer equations into one large system simultaneously, avoiding numerical instability of the Transfer Matrix method at high frequency-thickness products	matrix-techniques-multilayered-media-lowe
dispersion curves	phase velocity vs. frequency, wavenumber dispersion	Plots of phase velocity (or wavenumber) versus frequency for guided wave modes in a plate or layer; roots of the characteristic equation of the multilayer system	matrix-techniques-multilayered-media-lowe
Lamb waves	plate waves	Guided elastic waves propagating in a plate with traction-free surfaces; split into symmetric and antisymmetric families characterized by their dispersion curves	matrix-techniques-multilayered-media-lowe
leaky waves	leaky modes	Guided plate waves that radiate (leak) energy into adjacent fluid or solid media, resulting in exponential amplitude decay along the propagation direction	matrix-techniques-multilayered-media-lowe
partial wave technique	bulk wave decomposition	Decomposition of the wave field inside each layer into individual upward- and downward-traveling bulk (P, SV, SH) wave components whose amplitudes are treated as unknowns	matrix-techniques-multilayered-media-lowe
Biot theory	Biot poroelastic theory	Theory of wave propagation in fluid-saturated porous solids predicting two compressional waves (fast and slow) and one shear wave	global-transmission-reflection-ultrasonic-porous
slow wave	Biot slow wave	Compressional wave in a porous medium where frame and fluid move out of phase; highly attenuated at low frequencies	global-transmission-reflection-ultrasonic-porous
fast wave	Biot fast wave	Compressional wave in a porous medium where frame and fluid move in phase; less attenuated than the slow wave	global-transmission-reflection-ultrasonic-porous
global transmission coefficient	S₁₂	Coefficient accounting for all wave paths (direct plus all internal multiple-reflection orders) from transmitter to receiver through a porous slab	global-transmission-reflection-ultrasonic-porous
global reflection coefficient	S₁₁	Coefficient summing all reflected paths (including those returning after internal reflections) back toward the transmitter	global-transmission-reflection-ultrasonic-porous
inverse problem method	IPM	Determination of unknown material parameters (porosity, tortuosity, permeability) by fitting modeled transmission/reflection coefficients to experimental measurements	global-transmission-reflection-ultrasonic-porous
traveling pressure wave transfer matrix	pressure wave layer matrix	2×2 matrix relating forward and reverse pressure wave amplitudes on one face of a layer to those on the opposite face, used for acoustic channel modeling	1d-pressure-transfer-acoustic-electric
acoustic–electric transmission channel	through-wall acoustic channel	System that conveys electrical power or data across a solid barrier using ultrasonic waves via piezoelectric transducers bonded to each side	1d-pressure-transfer-acoustic-electric
piezoelectric transducer model	PZT model, pressure-wave piezoelectric model	Two-port model (one electrical: V, I; one mechanical: p⁺, p⁻) of a piezoelectric disk incorporating its coupling coefficient h₃₃ and backing reflection coefficient	1d-pressure-transfer-acoustic-electric
ABCD parameters	transmission-line parameters	Two-port network representation that maps input voltage/current to output voltage/current; used to connect piezoelectric transducer models to electronic networks	1d-pressure-transfer-acoustic-electric
beam spreading	diffraction loss, ultrasonic beam diffraction	Amplitude attenuation of an ultrasonic beam due to geometric divergence away from a piston source; modeled as a layer-specific correction in the transfer matrix stack	1d-pressure-transfer-acoustic-electric
acoustic impedance	characteristic acoustic impedance, Z₀	Product of medium density and sound speed (ρc); governs the reflection and transmission of waves at interfaces between different media	1d-pressure-transfer-acoustic-electric; matrix-techniques-multilayered-media-lowe
Euler equations (acoustic)	full nonlinear Euler equations for fluctuations	Conservation of mass and momentum equations for inviscid flow, decomposed into mean flow and fluctuating parts, used to propagate acoustic disturbances on a CFD background flow	numerical-method-acoustic-waves-propagation
hybrid CFD/CAA method	Euler acoustic postprocessor, EAP	Two-step aeroacoustics approach: CFD computes unsteady mean flow; a separate acoustic solver (CAA) propagates sound on that flow field	numerical-method-acoustic-waves-propagation
sound pressure level	SPL	Logarithmic measure of RMS acoustic pressure relative to a reference (20 µPa in air); expressed in dB	numerical-method-acoustic-waves-propagation
non-reflective boundary conditions	non-reflecting BCs, absorbing BCs	Numerical boundary treatment that allows outgoing acoustic waves to leave the computational domain without spurious reflections	numerical-method-acoustic-waves-propagation
SAS turbulence model	Scale Adaptive Simulation	Hybrid uRANS/LES turbulence model that resolves turbulent structures in unstable flow regions while falling back to RANS elsewhere; used as CFD input for EAP	numerical-method-acoustic-waves-propagation
computational aeroacoustics	CAA	Branch of CFD focused on the prediction and propagation of aerodynamically generated sound	numerical-method-acoustic-waves-propagation
